,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
102,Drama,Movie,Deng En Ming's Childhood,2011,7.0,tt11496430
103,Drama,Movie,Beastly,2011,6.0,tt1152398
104,Drama,Movie,The Joneses,2012,4.0,tt1152830
105,Drama,Movie,Patang,2017,1.0,tt1153700
106,Drama,Movie,Down the Shore,2011,1.0,tt1155060
107,Drama,Movie,En Coma,2011,5.0,tt11562724
108,Drama,Movie,Circus Fantasticus,2011,2.0,tt1156528
109,Drama,Movie,The Rite,2011,3.0,tt1161864
110,Drama,Movie,Garibni Dikri Sasriya Ma Thikri,2011,11.0,tt11646372
111,Drama,Movie,Hu Tari Meera Ne Tu Maro Shyam Re,2011,1.0,tt11646570
112,Drama,Movie,Testing Life,2014,4.0,tt1172231
113,Drama,Movie,Wasak: True-to-Life Story of Jonaver Luklukan,2011,4.0,tt11743946
114,Drama,Movie,Djalioh,2011,,tt11754036
115,Drama,Movie,The Family Tree,2011,12.0,tt1175713
116,Drama,Movie,Wuthering Heights,2012,4.0,tt1181614
117,Drama,Movie,Diagnosis Superstar,2011,,tt1183930
118,Drama,Movie,Island,2011,4.0,tt1185393
119,Drama,Movie,La piel que habito,2011,11.0,tt1189073
120,Drama,Movie,The Lincoln Lawyer,2011,4.0,tt1189340
121,Drama,Movie,One/One Thousandth,2011,,tt1191969
122,Drama,Movie,Youngstown Shakedown,2011,,tt11936324
123,Drama,Movie,In Transition 1.0 - From Oil Dependence to Local Resilience,2011,,tt11954890
124,Drama,Movie,Phil Cobb's Dinner for Four,2011,,tt1196952
125,Drama,Movie,Cougars Inc.,2012,9.0,tt1198075
126,Drama,Movie,Think of Me,2013,3.0,tt1198199
127,Drama,Movie,Night in Bombay,2011,,tt1201641
128,Drama,Movie,Tyrannosaur,2012,1.0,tt1204340
129,Drama,Movie,Yue zhi lu,2011,12.0,tt1205564
130,Drama,Movie,Hick,2012,5.0,tt1205558
131,Drama,Movie,Behesht-e gomshodeh,2019,2.0,tt12093996
132,Drama,Movie,The Escort,2011,8.0,tt12100528
133,Drama,Movie,Moneyball,2011,11.0,tt1210166
134,Drama,Movie,The Disappearance of Jennifer Pope,2011,,tt12106140
135,Drama,Movie,The Mortician,2013,4.0,tt1211353
136,Drama,Movie,Seeking Justice,2012,5.0,tt1214962
137,Drama,Movie,Efeitos Secundários,2011,12.0,tt1219332
138,Drama,Movie,A Matter of Justice,2011,12.0,tt1221136
139,Drama,Movie,Player,2012,10.0,tt1223414
140,Drama,Movie,Happy New Year,2013,5.0,tt1226274
141,Drama,Movie,Subject: I Love You,2011,,tt1227182
142,Drama,Movie,Jane Eyre,2011,9.0,tt1229822
143,Drama,Movie,The Saints of Mt. Christopher,2011,,tt1231577
144,Drama,Movie,Ironclad,2011,3.0,tt1233301
145,Drama,Movie,Pariah,2012,10.0,tt1233334
146,Drama,Movie,The Future,2011,9.0,tt1235170
147,Drama,Movie,Un mundo misterioso,2011,8.0,tt1235855
148,Drama,Movie,Medianeras,2011,10.0,tt1235841
149,Drama,Movie,The Truth About Angels,2011,10.0,tt1237932
150,Drama,Movie,Carré blanc,2011,9.0,tt1239429
151,Drama,Movie,We Need to Talk About Kevin,2011,12.0,tt1242460
152,Drama,Movie,Bellflower,2012,3.0,tt1242599
153,Drama,Movie,Dschungelkind,2011,2.0,tt1242543
154,Drama,Movie,L'ordre et la morale,2011,11.0,tt1242521
155,Drama,Movie,Judas Kiss,2011,4.0,tt1242642
156,Drama,Movie,Fancypants,2011,9.0,tt1243630
157,Drama,Movie,The Abduction of Zack Butterfield,2011,4.0,tt1247673
158,Drama,Movie,Almost Perfect,2013,9.0,tt1249158
159,Drama,Movie,Salvation Boulevard,2011,7.0,tt1251743
160,Drama,Movie,Yun xia de ri zi,2011,3.0,tt12531268
161,Drama,Movie,Immortals,2011,11.0,tt1253864
162,Drama,Movie,Trabajador,2011,5.0,tt12541454
163,Drama,Movie,Qi yue yu he,2011,12.0,tt12563644
164,Drama,Movie,Ek Wada Pran Jaaie Par Vachan Na Jaaie,2011,5.0,tt12580488
165,Drama,Movie,Phoenix Falling,2017,11.0,tt1258205
166,Drama,Movie,On the Inside,2012,12.0,tt1260365
167,Drama,Movie,Pathfinders: In the Company of Strangers,2011,1.0,tt1260680
168,Drama,Movie,In My Pocket,2013,2.0,tt1261420
169,Drama,Movie,All God's Creatures,2011,6.0,tt1261964
170,Drama,Movie,Saluda al diablo de mi parte,2011,8.0,tt1262415
171,Drama,Movie,Pig,2015,7.0,tt1262414
172,Drama,Movie,Fremdkörper,2011,4.0,tt1263743
173,Drama,Movie,Memphis Rising: Elvis Returns,2011,1.0,tt1265295
174,Drama,Movie,Wintertochter,2011,10.0,tt1266038
175,Drama,Movie,Bul Beni,2011,,tt12690500
176,Drama,Movie,Çok Mu Komik?,2011,,tt12691084
177,Drama,Movie,Dandam Dashagunam,2011,4.0,tt12700440
178,Drama,Movie,Danach,2011,2.0,tt1270256
179,Drama,Movie,The Devil's Double,2011,9.0,tt1270262
180,Drama,Movie,Land Gold Women,2011,12.0,tt1270267
181,Drama,Movie,Gangaputrulu,2011,3.0,tt12735950
182,Drama,Movie,Gromozeka,2011,6.0,tt1273803
183,Drama,Movie,The Last Seven,2013,8.0,tt1274273
184,Drama,Movie,Henry,2011,9.0,tt12818344
185,Drama,Movie,Fort McCoy,2014,8.0,tt1282046
186,Drama,Movie,Marrow,2011,3.0,tt1282100
187,Drama,Movie,Guo ming yi,2011,7.0,tt12825922
188,Drama,Movie,Killadi Raman,2011,12.0,tt12828476
189,Drama,Movie,Kottarathil Kutty Bhootham,2011,6.0,tt12833086
190,Drama,Movie,Tamasha Haach Khel Udya Punha,2011,,tt12833442
191,Drama,Movie,Shrimathi,2011,7.0,tt12875806
