,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
0,Drama,Movie,Return to Babylon,2013,8.0,tt0255820
1,Drama,Movie,The Secret Life of Walter Mitty,2014,1.0,tt0359950
2,Drama,Movie,In Secret,2014,4.0,tt0409379
3,Drama,Movie,42,2013,4.0,tt0453562
4,Drama,Movie,Without Warrant,2007,,tt0479700
5,Drama,Movie,uwantme2killhim?,2015,4.0,tt0485061
6,Drama,Movie,Syrup,2013,5.0,tt0762138
7,Drama,Movie,Santorini Blue,2013,5.0,tt0780625
8,Drama,Movie,Dallas Buyers Club,2014,1.0,tt0790636
9,Drama,Movie,Devil's Knot,2014,6.0,tt0804463
10,Drama,Movie,La mula,2013,5.0,tt0804509
11,Drama,Movie,Meridian Lines,2013,5.0,tt0811613
12,Drama,Movie,The Book Thief,2014,3.0,tt0816442
13,Drama,Movie,The Power of Few,2013,2.0,tt0817545
14,Drama,Movie,Approaching Midnight,2013,8.0,tt0837559
15,Drama,Movie,The Fallen Word,2013,5.0,tt0843839
16,Drama,Movie,Young American Dream,2013,12.0,tt0855705
17,Drama,Movie,Snitch,2013,4.0,tt0882977
18,Drama,Movie,Let Me Survive,2013,11.0,tt0960727
19,Drama,Movie,Shroud,2013,2.0,tt0963948
20,Drama,Movie,The Wolf of Wall Street,2014,1.0,tt0993846
21,Drama,Movie,Parees,2013,4.0,tt10017274
22,Drama,Movie,Im Dickicht Der Städte,2013,2.0,tt10035152
23,Drama,Movie,Whip,2013,,tt10081228
24,Drama,Movie,Anubhava,2013,,tt10081128
25,Drama,Movie,Tendlya Nighala Oscarla,2013,5.0,tt10087228
26,Drama,Movie,Sutradhaar,2013,8.0,tt10087552
27,Drama,Movie,Sat Na Gat,2013,9.0,tt10087614
28,Drama,Movie,Govinda,2013,8.0,tt10087544
29,Drama,Movie,Nan Ni Wan,2013,3.0,tt10095420
30,Drama,Movie,Mao Zedong and Qi Baishi,2013,12.0,tt10095466
31,Drama,Movie,Rock and a Hard Place,2013,6.0,tt10094394
32,Drama,Movie,El País de Abril,2013,5.0,tt10111144
33,Drama,Movie,Dhilakani,2013,5.0,tt10109692
34,Drama,Movie,Karma ke Rati,2013,7.0,tt10107250
35,Drama,Movie,Pablo,2013,6.0,tt10150576
36,Drama,Movie,Illuminate,2013,5.0,tt10174596
37,Drama,Movie,"Luca, l'évangile d'un homo",2013,10.0,tt10182318
38,Drama,Movie,Hati Ke Hati,2013,10.0,tt10240846
39,Drama,Movie,The Magnificent Eleven,2013,5.0,tt1027873
40,Drama,Movie,Yaanam,2013,9.0,tt10287560
41,Drama,Movie,Anna et Otto,2013,,tt10318272
42,Drama,Movie,Robosapien: Rebooted,2013,5.0,tt1037222
43,Drama,Movie,"Girl, Adopted",2013,9.0,tt1049395
44,Drama,Movie,Aiuto,2013,8.0,tt10514866
45,Drama,Movie,Tala Dar Mes,2013,,tt10574344
46,Drama,Movie,Adult World,2014,2.0,tt1067765
47,Drama,Movie,Fight Till The End,2013,5.0,tt10713774
48,Drama,Movie,The Dark Party,2013,5.0,tt1076250
49,Drama,Movie,Suhagan Shobhe Sasariye,2013,3.0,tt10778738
50,Drama,Movie,Muchachos,2013,8.0,tt10856746
51,Drama,Movie,Lone Survivor,2014,2.0,tt1091191
52,Drama,Movie,Finding Cyrus,2013,3.0,tt10918142
53,Drama,Movie,Adhyaya,2013,1.0,tt10921182
54,Drama,Movie,Yakubu,2013,11.0,tt10955162
55,Drama,Movie,El Ultimo Minuto,2013,2.0,tt10968858
56,Drama,Movie,Married Woman's Rendezvous - Nakadashi Adultery Document,2013,10.0,tt10996450
57,Drama,Movie,Inspector Chandni,2013,11.0,tt11017782
58,Drama,Movie,ZhZh,2013,,tt11068454
59,Drama,Movie,E Kaisan Pratha,2013,10.0,tt11092064
60,Drama,Movie,Tu Hi to Meri Jaan Hai Radha,2013,7.0,tt11091876
61,Drama,Movie,Munafiq,2013,6.0,tt11114766
62,Drama,Movie,Tie qiang jin hou,2013,,tt11121340
63,Drama,Movie,Hei Luo Li he Bai Luo Li,2013,12.0,tt11122080
64,Drama,Movie,Dryland,2013,10.0,tt11163758
65,Drama,Movie,Jours de Cendre,2013,7.0,tt11178892
66,Drama,Movie,Va Anh Se Tro Lai,2013,11.0,tt11244306
67,Drama,Movie,Aakasam Lo Sagam,2013,7.0,tt11252988
68,Drama,Movie,The Day Comes,2013,2.0,tt11341310
69,Drama,Movie,Mahabharat Aur Barbareek,2013,2.0,tt11345826
70,Drama,Movie,Ivan e il suo strano tempo,2013,5.0,tt11388642
