,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
0,Drama,Movie,Apaföld,2009,3.0,tt0143558
1,Drama,Movie,Rózsaszín sajt,2009,9.0,tt0153140
2,Drama,Movie,Sanam Teri Kasam,2009,5.0,tt0205380
3,Drama,Movie,Twice as Dead,2009,,tt0254832
4,Drama,Movie,Railed,2009,12.0,tt0311698
5,Drama,Movie,Coraline,2009,5.0,tt0327597
6,Drama,Movie,Mitsein,2009,7.0,tt0344074
7,Drama,Movie,Blood and Bone,2009,9.0,tt0346631
8,Drama,Movie,Inglourious Basterds,2009,8.0,tt0361748
9,Drama,Movie,The Box,2010,2.0,tt0362478
10,Drama,Movie,Possession,2009,7.0,tt0368563
11,Drama,Movie,Malice in Wonderland,2010,12.0,tt0374853
12,Drama,Movie,Astro Boy,2010,2.0,tt0375568
13,Drama,Movie,The Lovely Bones,2010,2.0,tt0380510
14,Drama,Movie,Boppin' at the Glue Factory,2009,,tt0382579
15,Drama,Movie,Where the Wild Things Are,2010,1.0,tt0386117
16,Drama,Movie,House of Boys,2010,,tt0405022
17,Drama,Movie,Youth in Revolt,2010,1.0,tt0403702
18,Drama,Movie,Utolsó jelentés Annáról,2009,10.0,tt0407852
19,Drama,Movie,Watchmen,2009,3.0,tt0409459
20,Drama,Movie,Mixing Karma,2009,2.0,tt0411670
21,Drama,Movie,Güz Sancisi,2009,1.0,tt0425080
22,Drama,Movie,Beyond the Horizon,2009,,tt0429664
23,Drama,Movie,Fantastic Mr. Fox,2010,4.0,tt0432283
24,Drama,Movie,Leningrad,2010,3.0,tt0432314
25,Drama,Movie,American Primitive,2014,,tt0435711
26,Drama,Movie,The Perfect Sleep,2009,3.0,tt0435716
27,Drama,Movie,AmerAsian,2009,11.0,tt0437065
28,Drama,Movie,Paper Man,2014,5.0,tt0437405
29,Drama,Movie,Why George?,2009,6.0,tt0437550
30,Drama,Movie,Kisse Pyaar Karoon?,2009,2.0,tt0438894
31,Drama,Movie,The Zero Sum,2009,6.0,tt0438154
32,Drama,Movie,Ocas jesterky,2009,1.0,tt0441328
33,Drama,Movie,For Real,2009,11.0,tt0445968
34,Drama,Movie,Punctured Hope: A Story About Trokosi and the Young Girls' Slavery in Today's West Africa,2009,11.0,tt0448093
35,Drama,Movie,Réfractaire,2009,6.0,tt0447692
36,Drama,Movie,Bela Noite Para Voar,2009,3.0,tt0446564
37,Drama,Movie,Yesterday Was a Lie,2009,1.0,tt0448182
38,Drama,Movie,Knowing,2009,4.0,tt0448011
39,Drama,Movie,It's a Mismatch,2009,7.0,tt0453501
40,Drama,Movie,The Time Traveler's Wife,2009,11.0,tt0452694
41,Drama,Movie,The Fakir of Venice,2019,2.0,tt0456407
42,Drama,Movie,Prima Primavera,2009,4.0,tt0454918
43,Drama,Movie,American Widow,2010,5.0,tt0454777
44,Drama,Movie,From Mexico with Love,2009,10.0,tt0457355
45,Drama,Movie,Die Päpstin,2010,4.0,tt0458455
46,Drama,Movie,"Io, Don Giovanni",2009,10.0,tt0458515
47,Drama,Movie,The Ritual,2009,8.0,tt0460943
48,Drama,Movie,Cold Storage,2010,5.0,tt0462232
49,Drama,Movie,One Way to Valhalla,2009,10.0,tt0468529
50,Drama,Movie,A Line in the Sand,2009,8.0,tt0470846
51,Drama,Movie,The Perfect Game,2010,4.0,tt0473102
52,Drama,Movie,9,2009,9.0,tt0472033
53,Drama,Movie,Notorious,2009,1.0,tt0472198
54,Drama,Movie,Mortal Sin,2009,1.0,tt0474819
55,Drama,Movie,State of Play,2009,6.0,tt0473705
56,Drama,Movie,Ouro Negro,2009,12.0,tt0481419
57,Drama,Movie,Night Fliers,2009,6.0,tt0480256
58,Drama,Movie,InSearchOf,2009,,tt0482525
