,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
0,Drama,Movie,Pál Adrienn,2011,6.0,tt0146592
1,Drama,Movie,Oda az igazság,2010,2.0,tt0154039
2,Drama,Movie,A zöld sárkány gyermekei,2011,4.0,tt0162942
3,Drama,Movie,The Final Journey,2010,9.0,tt0230212
4,Drama,Movie,In My Sleep,2010,4.0,tt0326965
5,Drama,Movie,This Wretched Life,2010,7.0,tt0331312
6,Drama,Movie,Anderson's Cross,2010,5.0,tt0393049
7,Drama,Movie,Den milde smerte,2014,5.0,tt0396123
8,Drama,Movie,Utomlennye solntsem 2,2010,4.0,tt0403645
9,Drama,Movie,Tekken,2010,3.0,tt0411951
10,Drama,Movie,Disconnect,2010,8.0,tt0419692
11,Drama,Movie,Milenge Milenge,2010,7.0,tt0443331
12,Drama,Movie,Les 7 jours du talion,2010,11.0,tt0445054
13,Drama,Movie,Vidas pequeñas,2011,3.0,tt0444531
14,Drama,Movie,Dream Street,2010,1.0,tt0446686
15,Drama,Movie,Mad World,2010,8.0,tt0451108
16,Drama,Movie,El hada buena - Una fábula peronista,2010,4.0,tt0454155
17,Drama,Movie,Memorias del desarrollo,2011,11.0,tt0457591
18,Drama,Movie,Drunkboat,2013,6.0,tt0460778
19,Drama,Movie,Federal,2010,10.0,tt0463311
20,Drama,Movie,Taken by Force,2010,,tt0465637
21,Drama,Movie,Sensual,2010,,tt0465760
22,Drama,Movie,Harlem Hostel,2010,2.0,tt0469094
23,Drama,Movie,Cielito lindo,2010,6.0,tt0473343
24,Drama,Movie,The Greater Meaning of Water,2010,,tt0479051
25,Drama,Movie,Barry Munday,2010,3.0,tt0482461
26,Drama,Movie,Bandeiji,2010,1.0,tt0482459
27,Drama,Movie,A Woman Is a Woman,2010,,tt0483839
28,Drama,Movie,PrimeMates,2010,1.0,tt0490199
29,Drama,Movie,Ramona and Beezus,2010,7.0,tt0493949
30,Drama,Movie,Good Sharma,2017,,tt0494229
31,Drama,Movie,O Inimigo Sem Rosto,2010,8.0,tt0495037
32,Drama,Movie,Tranced,2010,,tt0499608
33,Drama,Movie,Love & Other Drugs,2011,1.0,tt0758752
34,Drama,Movie,King of the Avenue,2010,9.0,tt0770778
35,Drama,Movie,Night Catches Us,2010,12.0,tt0775543
36,Drama,Movie,L'illusionniste,2010,7.0,tt0775489
37,Drama,Movie,El cielo elegido,2012,9.0,tt0774519
38,Drama,Movie,The Wolfman,2010,2.0,tt0780653
39,Drama,Movie,The First Grader,2011,8.0,tt0790663
40,Drama,Movie,13,2011,6.0,tt0798817
41,Drama,Movie,Ironmen,2010,,tt0800092
42,Drama,Movie,Nemesis,2010,10.0,tt0800353
43,Drama,Movie,It's Kind of a Funny Story,2010,10.0,tt0804497
44,Drama,Movie,Ashes,2010,9.0,tt0815101
45,Drama,Movie,Flipped,2010,9.0,tt0817177
46,Drama,Movie,Soupernatural,2010,,tt0818172
47,Drama,Movie,Waking Madison,2010,,tt0831280
48,Drama,Movie,The Kids Are All Right,2010,12.0,tt0842926
49,Drama,Movie,The Town,2010,10.0,tt0840361
50,Drama,Movie,Killer by Nature,2010,,tt0844866
51,Drama,Movie,Risen,2011,5.0,tt0850709
52,Drama,Movie,Bloudím,2010,10.0,tt0852939
53,Drama,Movie,A Summer Song,2012,,tt0853002
54,Drama,Movie,Kolorádó Kid,2010,10.0,tt0856796
55,Drama,Movie,Wide Blue Yonder,2012,5.0,tt0858500
56,Drama,Movie,"Surprise, Surprise",2010,8.0,tt0871893
57,Drama,Movie,Please Give,2010,7.0,tt0878835
58,Drama,Movie,Eat Pray Love,2010,10.0,tt0879870
59,Drama,Movie,Repo,2010,,tt0887161
60,Drama,Movie,Kavod,2010,5.0,tt0887751
61,Drama,Movie,The Switch,2010,10.0,tt0889573
62,Drama,Movie,Letters to Juliet,2010,6.0,tt0892318
63,Drama,Movie,The Whistleblower,2011,11.0,tt0896872
64,Drama,Movie,Don't Fade Away,2011,,tt0899145
65,Drama,Movie,Acts of Violence,2010,5.0,tt0902247
66,Drama,Movie,Eager to Die,2010,7.0,tt0907731
67,Drama,Movie,Proie,2011,7.0,tt0907305
68,Drama,Movie,Unthinkable,2010,7.0,tt0914863
69,Drama,Movie,De gelukkige huisvrouw,2010,4.0,tt0920459
70,Drama,Movie,Truth About Kerry,2012,3.0,tt0923954
71,Drama,Movie,"Glenn, the Flying Robot",2011,7.0,tt0934446
72,Drama,Movie,The Waiter,2010,3.0,tt0934981
73,Drama,Movie,Rabbit Hole,2011,4.0,tt0935075
74,Drama,Movie,White Knuckles,2010,,tt0942906
75,Drama,Movie,Green Zone,2010,4.0,tt0947810
76,Drama,Movie,Black Swan,2011,2.0,tt0947798
77,Drama,Movie,The Killer Inside Me,2010,10.0,tt0954947
78,Drama,Movie,Robin Hood,2010,5.0,tt0955308
79,Drama,Movie,Heart of Now,2010,6.0,tt0960067
80,Drama,Movie,Dom Solntsa,2010,4.0,tt0962764
81,Drama,Movie,The Fighter,2011,3.0,tt0964517
82,Drama,Movie,The Conspirator,2011,8.0,tt0968264
83,Drama,Movie,The Chosen One,2010,9.0,tt0970926
84,Drama,Movie,La razón,2011,4.0,tt0970955
85,Drama,Movie,The Land of the Astronauts,2010,10.0,tt0974584
86,Drama,Movie,Sinatra Club,2010,9.0,tt0975738
87,Drama,Movie,Fair Game,2010,11.0,tt0977855
88,Drama,Movie,Multiple Sarcasms,2010,4.0,tt0984210
89,Drama,Movie,A Flat,2010,11.0,tt0988655
90,Drama,Movie,Dear John,2010,3.0,tt0989757
91,Drama,Movie,The Experiment,2010,8.0,tt0997152
92,Drama,Movie,Bibliothèque Pascal,2010,3.0,tt0997035
93,Drama,Movie,Opal,2010,10.0,tt1008015
94,Drama,Movie,The Steamroom,2010,,tt1008046
95,Drama,Movie,Love Sick Diaries,2012,9.0,tt1010270
96,Drama,Movie,Prime of Your Life,2010,,tt1016226
97,Drama,Movie,The Runaways,2010,11.0,tt1017451
98,Drama,Movie,Woyzeck 2010,2010,6.0,tt10195742
99,Drama,Movie,Deal,2010,,tt1020011
100,Drama,Movie,Patagonia,2011,3.0,tt1020559
101,Drama,Movie,Centurion,2010,5.0,tt1020558
102,Drama,Movie,Copie conforme,2010,8.0,tt1020773
103,Drama,Movie,Rising Star,2010,,tt1022884
104,Drama,Movie,The Way Back,2011,1.0,tt1023114
105,Drama,Movie,What About Cuba?,2010,11.0,tt10240942
106,Drama,Movie,Wall Street: Money Never Sleeps,2010,9.0,tt1027718
107,Drama,Movie,Secretariat,2010,10.0,tt1028576
108,Drama,Movie,Sawariya lai de ho rangni chudi,2010,,tt10309458
109,Drama,Movie,Jai Balaji Mehndipur Wale,2010,1.0,tt10323662
110,Drama,Movie,The Book of Eli,2010,3.0,tt1037705
111,Drama,Movie,Let the Game Begin,2010,1.0,tt1041778
112,Drama,Movie,"O: love, beauty, pain, struggle",2010,2.0,tt10417654
113,Drama,Movie,Tamassu,2010,6.0,tt10428942
114,Drama,Movie,Just Inès,2010,11.0,tt1042974
115,Drama,Movie,El mal ajeno,2010,11.0,tt1043800
116,Drama,Movie,Camp Hell,2011,12.0,tt1047449
117,Drama,Movie,Howl,2011,5.0,tt1049402
118,Drama,Movie,The Singularity Is Near,2012,7.0,tt1049412
119,Drama,Movie,Between The Lines,2010,6.0,tt10500904
120,Drama,Movie,Asa Mi Kay Gunha Kela,2010,,tt10510724
121,Drama,Movie,The Black Bay Sequence,2010,,tt10510738
122,Drama,Movie,Ivory,2010,,tt1051340
123,Drama,Movie,Lost Everything,2013,11.0,tt1051715
124,Drama,Movie,Hearts of Three,2010,5.0,tt10529804
125,Drama,Movie,Chike Naija,2010,,tt10533316
126,Drama,Movie,As Melhores Coisas do Mundo,2010,4.0,tt1054677
127,Drama,Movie,Life as We Know It,2010,10.0,tt1055292
128,Drama,Movie,Spud,2010,12.0,tt1059969
129,Drama,Movie,Small Town Saturday Night,2010,6.0,tt1063111
130,Drama,Movie,Bare Knuckles,2010,,tt1063327
131,Drama,Movie,Punk's Dead,2010,9.0,tt10637610
132,Drama,Movie,Je ne vous oublierai jamais,2010,4.0,tt1064960
133,Drama,Movie,Quincas Berro d'Água,2010,5.0,tt1068962
