0,1,2,3,4,5,6,7,8,9,10
tt0117743,Still Waters Burn,Movie,Drama,2008,2.0,NO DATA,"['tt0117743', 'Ian Hart', 'Claudia Wells', 'Lina Broydo', 'Ian Davidson', 'Ian Davidson', 'Jens Hussie', 'Martin Kachuck', 'Bert Kinyon', 'Darren McGavin', 'Daniel Osuna']",[],"A game of truth or dare ignites latent love. Still Waters Burn features Ian Hart, Claudia Wells, and the last film performance of Darren McGavin (A Christmas Story, The Night Stalker).",83
tt0119970,Quality Time,Movie,Drama,2008,3.0,NO DATA,"['tt0119970', 'Corin Nemec', 'Bruce Weitz', 'Nancy Allen', 'John de Lancie', 'Gail Strickland', 'Meredith Salenger', 'Jesse Bob Harper', 'Jennifer Blanc-Biehn', 'Rollin Herold', 'Rif Hutton']",[],"In an apocalyptic future, a serial killer holds his family and another family hostage in an attempt to change his life.",Formato min incorrecto
tt0177636,Geliebte Clara,Movie,Drama,2008,12.0,NO DATA,"['tt0177636', 'Martina Gedeck', 'Pascal Greggory', 'Malik Zidi', 'Aline Annessy', 'Brigitte Annessy', 'Luc Annessy', 'Marine Annessy', 'Jacques Breuer', 'Sascha Caparros', 'Michael Court']",[],Una mirada a las vidas de los compositores del siglo XIX Clara y Robert Schumann.,Formato min incorrecto
tt0200465,The Bank Job,Movie,Drama,2008,9.0,NO DATA,"['tt0200465', 'Jason Statham', 'Saffron Burrows', 'Stephen Campbell Moore', 'Daniel Mays', 'James Faulkner', 'Alki David', 'Michael Jibson', 'Georgia Taylor', 'Richard Lintern', 'Peter Bowles']",[],Martine informa a Terry sobre un asalto al banco infalible en la calle Baker de Londres. Ella decide robar una habitación llena de cajas de seguridad con millones en efectivo y joyas. Pero también guardan un tesoro de secretos sucios.,NO DATA
tt0211946,Berlin Calling,Movie,Drama,2008,10.0,NO DATA,"['tt0211946', 'Paul Kalkbrenner', 'Rita Lengyel', 'Corinna Harfouch', 'Araba Walton', 'Peter Schneider', 'Rolf Peter Kahl', 'Henriette Müller', 'Udo Kroschwald', 'Megan Gay', 'Max Mauff']",[],"Un hombre sale de gira por clubes de todo el mundo con su mánager y su novia. En vísperas del lanzamiento de su mayor álbum, es ingresado en una clínica psiquiátrica tras sufrir una sobredosis en un concierto.",109
tt0313088,Jackson,Movie,Drama,2008,,NO DATA,"['tt0313088', 'Barry Primus', 'Charles Robinson', 'Steve Guttenberg', 'Debra Jo Rupp', 'Neal Matarazzo', 'Gene Arkle', 'Tara Bellando', 'Juliette Blasor', 'Tony Devon', 'Moe El Emam']",[],"Jackson is about two homeless men in Los Angeles, California, Donald and Sam. At the start of the day, Donald is given a twenty dollar bill (also known as a ""Jackson""). The film follows the two and shows their adventures throughout the day with this money, and features songs from various operas.",97
tt0317249,A Circle on the Cross,Movie,Drama,2018,9.0,NO DATA,"['tt0317249', 'Terrence Mann', 'Steven Earl-Edwards', 'Ryan McWhorter', 'Liza Vann', 'Matthew Lewis', 'Pete Rayfield']",[],"An American soldier, listed as Missing in Action in Vietnam since 1972, returns home after twenty years, to find quite the dysfunctional family.",72
tt0319115,Brothel,Movie,Drama,2008,2.0,NO DATA,"['tt0319115', 'Serena Scott Thomas', 'Brett Cullen', 'Christian Martin', 'Bruce Payne', 'Grace Zabriskie', 'Sarah Lassez', 'Andrea Morris', 'Lisa Banes', 'Yvonne Sciò', 'Whip Hubley']",[],"After her lover commits suicide, Julianne runs away from the city and moves in the ghost town of Jerome. She purchases an abandoned brothel and sets to work turning it into a hotel; but then she comes to know the ghosts of the brothel",Formato min incorrecto
tt0357668,The Flyboys,Movie,Drama,2008,8.0,NO DATA,"['tt0357668', 'Jesse James', 'Reiley McClendon', 'Stephen Baldwin', 'Tom Sizemore', 'J. Todd Adams', 'Dallen Gettling', 'Jennifer Slimko', 'Robert Costanzo', 'Vince Cecere', ""Frank D'Amico""]",[],Dos niños tienen su coraje puesto a prueba cuando accidentalmente se escapan a bordo de un avión propiedad de la mafia.,Formato min incorrecto
tt0363780,Lymelife,Movie,Drama,2009,11.0,NO DATA,"['tt0363780', 'Rory Culkin', 'Alec Baldwin', 'Jill Hennessy', 'Emma Roberts', 'Timothy Hutton', 'Cynthia Nixon', 'Logan Huffman', 'Brandon Thane Wilson', 'Adam Scarimbolo', 'Kieran Culkin']",[],A family unit begins to bow under the pressure of a failing marriage.,Formato min incorrecto
tt0365675,Der Rote Baron,Movie,Drama,2008,4.0,NO DATA,"['tt0365675', 'Matthias Schweighöfer', 'Lena Headey', 'Til Schweiger', 'Joseph Fiennes', 'Tomás Koutník', 'Tomás Ibl', 'Albert Franc', 'Maxim Mehmet', 'Hanno Koffler', 'Richard Krajco']",[],De la carnicería y el caos de la Primera Guerra Mundial surgió un hombre cuyo nombre pasaría a la leyenda. ¿Caballero? ¿Guerrero? ¿Aventurero? Manfred Von Richthofen es conocido por siempre como El Barón Rojo.,NO DATA
tt0369436,Four Christmases,Movie,Drama,2008,12.0,NO DATA,"['tt0369436', 'Reese Witherspoon', 'Vince Vaughn', 'Mary Steenburgen', 'Robert Duvall', 'Sissy Spacek', 'Jon Voight', 'Jon Favreau', 'Dwight Yoakam', 'Tim McGraw', 'Kristin Chenoweth']",[],Una pareja se esfuerza por visitar a sus cuatro padres divorciados en Navidad.,NO DATA
tt0374569,Che: Part Two,Movie,Drama,2009,4.0,NO DATA,"['tt0374569', 'Demián Bichir', 'Rodrigo Santoro', 'Benicio Del Toro', 'Catalina Sandino Moreno', 'María D. Sosa', 'Raúl Beltrán', ""Raúl 'Pitín' Gómez"", 'Paty M. Bellott', 'Othello Rensoli', 'Franka Potente']",[],"En 1967, Ernesto 'Che' Guevara lidera un pequeño ejército partidista para librar una desafortunada guerra revolucionaria de guerrillas en Bolivia.",NO DATA
tt0380249,Carlston za Ognjenku,Movie,Drama,2008,1.0,NO DATA,"['tt0380249', 'Katarina Radivojevic', 'Sonja Kolacaric', 'Stefan Kapicic', 'Nenad Jezdic', 'Olivera Katarina', 'Nada Sargin', 'Jovana Stipic', 'Danica Maksimovic', 'Radmila Tomovic', 'Danijela Vranjes']",[],"Story of two sisters that grew up in a small Serbian village in the beginning of the 1930s. The village is torn up by wars and years long blood oath. There are no men left in the village. Our heroines, Ognjenka and Mala Boginja decide to go to the city, kidnap men and return life to their village. The lights of the metropolis dazzle them and there starts this little a... Leer todo",86
tt0379865,Leatherheads,Movie,Drama,2008,5.0,NO DATA,"['tt0379865', 'George Clooney', 'Renée Zellweger', 'John Krasinski', 'David de Vries', 'Rick Forrester', 'Craig S. Harper', 'Malcolm Goodwin', 'Matt Bushell', 'Tommy Hinkley', 'Tim Griffin']",[],"En 1925, un jugador de fútbol profesional emprendedor convence al héroe del fútbol americano universitario demasiado bueno para ser verdad de Estados Unidos de jugar para su equipo y evitar que la liga se arruine.",NO DATA
tt0380034,Triomf,Movie,Drama,2009,2.0,NO DATA,"['tt0380034', 'Lionel Newton', 'Vanessa Cooke', 'Eduan van Jaarsveldt', 'Paul Lückhoff', 'Obed Baloyi', 'Pam Andrews', 'Coco Merckel', 'Astrid Braaf', 'Craig Palm', 'Oscar Petersen']",[],"Adaptation of award winning novel by Marlene van Niekerk. ""Triomf' is about the ultimate dysfunctional family, the Benades, poor white working class Afrikaner trailer trash on the eve of the country's first democratic election.",118
tt0383062,Kalandorok,Movie,Drama,2008,1.0,NO DATA,"['tt0383062', 'Péter Haumann', 'Péter Rudolf', 'Milán Schruff', 'Béla Barabás', 'Péter Bergendy', 'Ágnes Bánfalvy', 'Dezso Csiki', 'Mari Csomós', 'Áron Dimény', 'Zoltán Durkó']",[],,100
tt0383028,"Synecdoche, New York",Movie,Drama,2009,2.0,NO DATA,"['tt0383028', 'Philip Seymour Hoffman', 'Samantha Morton', 'Michelle Williams', 'Catherine Keener', 'Sadie Goldstein', 'Tom Noonan', 'Peter Friedman', 'Charles Techman', 'Josh Pais', 'Daniel London']",[],"Un director de teatro, en el proceso de crear una réplica de Nueva York en un almacén para su próxima obra, tiene dificultades en el trabajo y con las mujeres en su vida.",100
tt0397892,Bolt,Movie,Drama,2009,2.0,NO DATA,"['tt0397892', 'John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton', 'Malcolm McDowell', 'James Lipton', 'Greg Germann', 'Diedrich Bader', 'Nick Swardson', 'J.P. Manoux']",[],"La estrella canina de un programa de ciencia ficción, que cree que sus poderes son reales, se embarca en un viaje a través del país para salvar a su coprotagonista de una amenaza que cree que es igual de real.",100
tt0402449,Primo,Movie,Drama,2008,6.0,NO DATA,"['tt0402449', 'Matt Ferrucci', 'Michael Portugal', 'Andrea Grano', 'Eloy Méndez', 'Vivis Colombetti', 'Henry Darrow', 'Adam Gregor', 'Ilia Volok', 'John Thoms', 'Bernardo Verdugo']",[],"Three cousins (primos) separated as young boys during the civil war in El Salvador, journey to Las Vegas due to their grandfather's failing health. Now the reunited cousins must overcome a love triangle, a lethal gambling debt and familial revenge. Powered by a diverse cast including Henry Darrow (High Chaparral, Zorro), Eloy Mendez (Bread and Roses), Andrea Grano (Pl... Leer todo",NO DATA
