0,1,2,3,4,5,6,7,8,9,10
tt0146592,Pál Adrienn,Movie,Drama,2011,6.0,NO DATA,"['tt0146592', 'Éva Gábor', 'István Znamenák', 'Ákos Horváth', 'Lia Pokorny', 'Izabella Hegyi', 'Szabolcs Thuróczy', 'Ági Margitai', 'Eszter Márton', 'Lóránt Matta', 'Róbert Kardos']",[],"A lonely obese nurse, working at a hospital terminal ward, is reminded of her childhood friend Adrienn Pal and wants to track her down.",136
tt0154039,Oda az igazság,Movie,Drama,2010,2.0,NO DATA,"['tt0154039', 'Kornél Mundruczó', 'Daniel Olbrychski', 'Zoltán Mucsi', 'Florian Teichtmeister', 'Lajos Balázsovits', 'György Cserhalmi', 'Simon Szabó', 'Miklós Béres', 'Miklós Székely B.', 'Gábor Nagypál']",[],,100
tt0162942,A zöld sárkány gyermekei,Movie,Drama,2011,4.0,NO DATA,"['tt0162942', 'Zoltán Rátóti', 'Yu Debin', 'Eszter Bánfalvi', 'Ferenc Lengyel', 'Attila Egyed', 'Shan Yu Tio', 'Erika Horváth', 'Uwe Lauer', 'Gábor Pintér', 'Szabolcs Thuróczy']",[],"Mate, a lonely, divorced real estate agent is put in charge by his boss to sell a suburban storage building. The storage is rented by the Chinese, who keep their semi-legal goods here before selling them on the market. The stock comprising of several thousands of boxes is guarded by a Chinese man, Wu, who also lives in the storage. During this forced association a str... Leer todo",89
tt0230212,The Final Journey,Movie,Drama,2010,9.0,NO DATA,"['tt0230212', 'R.J. Adams', 'Rob Adams']",[],"The Final Journey follows the rail lines of the Nazi Controled Deutsche Reichsbahn system that delivered millions of people from every corner of Europe to the door-step of the infamous Concentration Camps. By integrating a special collection of rare photographs and crystal clear archival film, the viewer is taken on a then and now journey to each of the former Nazi ca... Leer todo",120
tt0326965,In My Sleep,Movie,Drama,2010,4.0,NO DATA,"['tt0326965', 'Philip Winchester', 'Tim Draxl', 'Lacey Chabert', 'Abigail Spencer', 'Kelly Overton', 'Amy Aquino', 'Tony Hale', 'Kevin Kilner', 'Aidan Mitchell', 'Michael Badalucco']",[],"A sleepwalking, sexaholic masseur wakes up, covered in blood next to a bloody knife, when cops ring the doorbell.",NO DATA
tt0331312,This Wretched Life,Movie,Drama,2010,7.0,NO DATA,"['tt0331312', 'Daniel Ball', 'Ande Cira', 'Michael Callahan', 'Frankie J. Mosca', 'Christopher Pleckaitis', 'Brian Calek', 'Carol Wei', 'Chris Johnson', 'Sal DeLucia', 'Sarah Caliendo']",[],"Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Leer todo",99
tt0393049,Anderson's Cross,Movie,Drama,2010,5.0,NO DATA,"['tt0393049', 'Michael Warren', 'Joanna Cassidy', 'Joyce Guy', 'Bill Moseley', 'Jerome Elston Scott', 'Alan Blumenfeld', 'Art Evans', 'Nicholas Downs', 'Heather Bergdahl', 'Micah Stuart']",[],"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Leer todo",99
tt0396123,Den milde smerte,Movie,Drama,2014,5.0,NO DATA,"['tt0396123', 'Tine Blichmann', 'Carsten Brandt', 'Kirstine Brandt', 'Laure Calamy', 'Mikkel Faartoft', 'Stine Faartoft', 'Michelle Figlarz', 'Ewa Fröling', 'Helene Gross', 'Rut Kronström']",[],An original story about a broken desperate film director.,280
tt0403645,Utomlennye solntsem 2,Movie,Drama,2010,4.0,NO DATA,"['tt0403645', 'Nikita Mikhalkov', 'Oleg Menshikov', 'Nadezhda Mikhalkova', 'Sergey Makovetskiy', 'Dmitriy Dyuzhev', 'Artur Smolyaninov', 'Andrey Merzlikin', 'Maksim Sukhanov', 'Evgeniy Stychkin', 'Evgeniy Mironov']",[],"A look at the horrors of the Eastern Front of World War II from the points of view of repressed soldier of penal battalion and his young daughter, who stayed behind enemy lines.",181
tt0411951,Tekken,Movie,Drama,2010,3.0,NO DATA,"['tt0411951', 'Jon Foo', 'Kelly Overton', 'Cary-Hiroyuki Tagawa', 'Ian Anthony Dale', 'Cung Le', 'Darrin Dewitt Henson', 'Luke Goss', 'Mircea Monroe', 'Tamlyn Tomita', 'Candice Hillebrand']",[],Jin Kazama es testigo de la muerte de su madre Jun por parte de Tekken.,181
