0,1,2,3,4,5,6,7,8,9,10
tt0196186,I Viceré,Movie,Drama,2007,11.0,NO DATA,"['tt0196186', 'Alessandro Preziosi', 'Lando Buzzanca', 'Cristiana Capotondi', 'Guido Caprino', 'Assumpta Serna', 'Sebastiano Lo Monaco', 'Giselda Volodi', 'Paolo Calabresi', 'Biagio Pelligra', 'Giovanna Bozzolo']",[],"Story in set in Sicily, 1800. The Uzeda family fights to remain in control of its power against the new regime, both on political and personal side, leading to intricate love affairs, difficult parental relashionship and obstacles on their way to the top.",120
tt0206806,Hermano,Movie,Drama,2007,2.0,NO DATA,"['tt0206806', 'Ignazio Oliva', 'Rade Serbedzija', 'Paolo Villaggio', 'Cristina Moglia', 'Emir Kusturica', 'Lucija Serbedzija', 'Andrea Bruschi', 'Dejan Acimovic', 'Mate Parlov', 'Franko Blagonic']",[],,94
tt0211933,Awake,Movie,Drama,2008,9.0,NO DATA,"['tt0211933', 'Hayden Christensen', 'Jessica Alba', 'Terrence Howard', 'Lena Olin', 'Christopher McDonald', 'Sam Robards', 'Arliss Howard', 'Fisher Stevens', 'Georgina Chapman', 'David Harbour']",[],Un joven adinerado que se somete a una operación de trasplante de corazón descubre que el equipo quirúrgico pretende asesinarle.,NO DATA
tt0213985,Partition,Movie,Drama,2007,2.0,NO DATA,"['tt0213985', 'Jimi Mistry', 'Kristin Kreuk', 'Neve Campbell', 'John Light', 'Irrfan Khan', 'Madhur Jaffrey', 'Arya Babbar', 'Lushin Dubey', 'Chenier Hundal', 'Jesse Moss']",[],"During the turmoil and violence of Partition, a Sikh ex-soldier, haunted by war, offers shelter to a young Muslim woman who has been separated from her family.",NO DATA
tt0218140,Death and Taxis,Movie,Drama,2007,5.0,NO DATA,"['tt0218140', 'James Y. Jones', 'Heather Miller', 'Rich Komenich', 'Gary Sugarman', 'Sean Vernaglia', 'Bernard Washington', 'Joseph Severeno', 'Jim Jarvis', 'Mike Bacarella', 'Kevin Mukherji']",[],"Take a fascinating journey in Death And Taxis where the journey is the destination, and the next world might be just a cab ride away. Hugging the double-yellow line between this life and the next, one big city taxi carries the stories of several drivers and passengers, each contending with intensely psychological and sometimes supernatural brushes with death. Whether ... Leer todo",89
tt0242029,Terra Sonâmbula,Movie,Drama,2008,5.0,NO DATA,"['tt0242029', 'Nick Lauro Teresa', 'Aladino Jasse', 'Ernesto Lemos Macuacua', 'Filimone Meigos', 'Tânia Adelino', 'Erónia Malate', 'Alan Cristina Salazar', 'Gildo Arão Balate', 'Jorge Kanic Passe', 'Afonso Francisco']",[],"In the midst of Mozambique's devastating civil war, Muidinga, an orphaned refugee, wanders the countryside in search of his mother. His only companion is an elderly storyteller, and the only guide to finding his mother is a dead man's diary. This transporting drama underscores the power of imagination in surviving, and ultimately overcoming, the catastrophe of war.",Formato min incorrecto
tt0243649,Hitler Meets Christ,Movie,Drama,2007,3.0,NO DATA,"['tt0243649', 'Michael Moriarty', 'Wyatt Page', 'Linley Subryan']",[],"Two men meet in a train station. One believes he's Hitler, the other, Christ. Their unusual pairing brings together two of the most controversial figures in human history.",76
tt0283503,Brooklyn Rules,Movie,Drama,2009,5.0,NO DATA,"['tt0283503', 'Paulo Araujo', 'Daniel Tay', 'Ty Thomas Reed', ""Brian O'Neill"", 'Alec Baldwin', 'Scott Caan', 'Jerry Ferrara', 'Freddie Prinze Jr.', 'Mena Suvari', 'Alexa Havins']",[],"Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty.",NO DATA
tt0287075,Universal Groove,Movie,Drama,2007,12.0,NO DATA,"['tt0287075', 'Corey Haim', 'Chris Mulkey', 'Anne Bedian', 'Myles Beeby', 'Corey Besner', 'Jason Bisonette', 'Eddy Cola', 'Kianha Daniels', 'Jason Dragif', 'Marie Eve Blackburn']",[],A quick trip through the underground party scene as seen through the memories of eight people coming back to reality.,74
tt0292963,Before the Devil Knows You're Dead,Movie,Drama,2008,4.0,NO DATA,"['tt0292963', 'Philip Seymour Hoffman', 'Ethan Hawke', 'Albert Finney', 'Marisa Tomei', 'Aleksa Palladino', 'Michael Shannon', 'Amy Ryan', 'Sarah Livingston', ""Brían F. O'Byrne"", 'Rosemary Harris']",[],"Cuando dos hermanos organizan un atraco en la joyería de sus padres, el trabajo sale terriblemente mal, desencadenando una serie de eventos que los conducen, junto a su padre y la esposa de uno de los hermanos, hacia un clímax demoledor.",NO DATA
