0,1,2,3,4
Rachel Bell,1950,"['The Darling Buds of May', '1991–1993 • 16 episodios', 'Priscilla P.', 'Serie de TV', '7,1']",['Reparto'],Sin oscar
Bjørn Sundquist,1948,[''],"['Reparto', 'Música']",Sin Oscar
Yejin Jeong,No data,['Una vida nueva'],['Reparto'],Sin oscar
Chengwei Ren,No data,"['You ni cai you jia', 'Da Xue Wu Hen', 'Ke ai de Zhong Guo', '7,2']","['Reparto', 'Dirección']",Sin Oscar
Manabu Oshio,1978,"['Yamato nadeshiko', '2000 • 11 episodios', '2005', '2009', '2001 • 11 episodios']",['Reparto'],Sin oscar
Lynette Curran,1945,[''],['Reparto'],Sin Oscar
Jhilmil Hazrika,No data,"['Aamir', 'Noi', '5,1']",['Reparto'],Sin oscar
Uttar Kumar,1973,[''],"['Reparto', 'Dirección', 'Guion']",Sin oscar
Geoff Falk,1962,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Shalim Ortiz,1979,[''],"['Reparto', 'Música', 'Producción']",Sin Oscar
Moa Silén,1979,"['Portofino: The Philippines', '6,1', '3,6', '6,6']",['Reparto'],Sin oscar
Leon Seidel,1996,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Xango Henry,No data,[''],"['Reparto', 'Especialistas', 'Producción']",Sin oscar
Deneb Catalan,No data,"['Death Lotto', 'Serie de TV', 'I Am Your Hairdresser']","['Reparto', 'Producción', 'Cámara y electricidad']",Sin oscar
David Proval,1942,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Deb Mukherjee,No data,[''],"['Reparto', 'Dirección', 'Producción']",Sin oscar
Jason Schwartzman,1980,[''],"['Reparto', 'Música', 'Producción']",Sin Oscar
Rhys Thomas,1978,[''],"['Reparto', 'Guion', 'Dirección']",Nominado a 1 premio BAFTA
Alejandro de la Madrid,1977,[''],['Reparto'],Sin oscar
Kostas Koronaios,No data,"['Akadimia Platonos', 'Guiness', 'O teleftaios taxitzis', 'Liebestod: Tessereis praxeis', '2007']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Sin oscar
Marco Serralta,No data,"['Las californianas', 'La Mission']",['Reparto'],Sin oscar
Marc Blucas,1972,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Nicolette Doke,No data,[''],['Reparto'],Sin oscar
Kathleen Munroe,abril,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Brendan Miller,1981,[''],['Reparto'],Sin oscar
Kestie Morassi,1978,[''],"['Reparto', 'Producción']",Sin Oscar
Gary Beadle,1965,[''],"['Reparto', 'Guion', 'Banda sonora']",Sin Oscar
Don Hahn,1955,[''],"['Producción', 'Dirección', 'Equipos adicionales']",Nominado para 2 premios Óscar
Luke Treadaway,1984,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Trevor Richardson,No data,[''],"['Reparto', 'Producción', 'Equipo ejecutivo']",Sin oscar
Nebojsa Milovanovic,1974,"['Crna svadba', '2021 • 7 episodios', 'Major Dragan KasaninKapetan Dragan Kasanin', 'Serie de TV', '8,6']",['Reparto'],Sin oscar
Sofia Vassilieva,1992,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Juno Temple,1989,[''],"['Reparto', 'Banda sonora']",Nominado para 3 premios Primetime Emmy
Melia Renee,1989,[''],"['Reparto', 'Guion']",Sin oscar
Catherine Dyer,noviembre,[''],"['Reparto', 'Dirección', 'Producción']",Nominado para 1 premio Primetime Emmy
Francis Renaud,1967,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Ariel Gade,1997,[''],"['Reparto', 'Producción']",Sin Oscar
Eric Allan Kramer,1962,[''],"['Reparto', 'Dirección']",Sin oscar
Driss Roukhe,1968,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Sneha,1981,[''],"['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Ric Maddox,1979,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Marylouise Burke,1941,[''],['Reparto'],Sin oscar
Juli Alexandrov,No data,['Desperados on the Block'],['Reparto'],Sin oscar
Jean-Pierre Léaud,1944,[''],"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Dirección']",Nominado a 1 premio BAFTA
Frederick Weller,1966,[''],"['Reparto', 'Dirección', 'Guion']",Sin oscar
Brad Kranich,No data,[''],['Reparto'],Sin oscar
Rhonda Aldrich,No data,"['Cocodrilo Dundee en Los Angeles', 'Star Trek: La nueva generación', '1988–1991 • 3 episodios', '1985', 'Annie']","['Reparto', 'Equipos adicionales']",Sin oscar
Leah Grimsson,No data,"['Metal Man', '2008', '2016', 'Dorris', '2012']",['Reparto'],Sin oscar
Edica Casanova,No data,"['Fingerprints', '7,1', '8,5', '7,6']","['Maquillaje', 'Reparto']",Sin oscar
Maria Ribera,1978,[''],['Reparto'],Sin Oscar
Michael Teigen,No data,[''],"['Reparto', 'Guion']",Sin oscar
October Moore,No data,[''],['Reparto'],Sin oscar
Trish Egan,No data,[''],['Reparto'],Sin oscar
Jack Kyle,1968,[''],"['Reparto', 'Producción']",Sin oscar
Jill K. Allen,No data,[''],"['Reparto', 'Efectos visuales']",Sin oscar
Zen Ledden,No data,[''],['Reparto'],Sin oscar
Paul Calderon,1959,[''],"['Reparto', 'Producción', 'Dirección de la segunda unidad o asistencia a dirección']",Sin Oscar
Cheech Marin,1946,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
