0,1,2,3,4
Jane McGregor,1983,[''],['Reparto'],Sin Oscar
Kene Holiday,1949,[''],['Reparto'],Sin Oscar
Robert Carradine,1954,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Erica Highberg,No data,"['Swarm of the Snakehead', 'It Came from Yesterday', 'Deadline', 'Pain Within']","['Reparto', 'Efectos especiales', 'Maquillaje']",Sin oscar
Barlow Jacobs,No data,[''],"['Reparto', 'Producción', 'Guion']",Más en IMDbPro
Asmaa Houri,No data,['Ett öga rött'],['Reparto'],Sin oscar
Celia Weston,1951,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Coll Domhnallach,No data,['Seachd: The Inaccessible Pinnacle'],['Reparto'],Sin oscar
Timothy Hutton,1960,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 1 premio Óscar
Liz Gordon,No data,"['Lars y una chica de verdad', 'Blues Brothers 2000', 'It', 'Tarzan', '2003 • 1 episodio']",['Reparto'],Sin oscar
Steven Sprung,No data,[''],"['Edición', 'Dirección', 'Guion']",Más en IMDbPro
Aaron Staton,1980,[''],"['Reparto', 'Guion']",Nominado a 1 premio BAFTA
Michalis Koutsogiannakis,1959,"['Millennium 2: La chica que soñaba con una cerilla y un bidón de gasolina', 'Millennium 1: Los hombres que no amaban a las mujeres', 'Millennium 3: La reina en el palacio de las corrientes de aire', 'Millennium', '2010 • 5 episodios']",['Reparto'],Sin Oscar
Amanda Brooks,junio,[''],"['Reparto', 'Producción']",Sin oscar
Manuel Vicente,1955,[''],"['Reparto', 'Dirección']",Sin Oscar
Julie Bowen,1970,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 2 premios Primetime Emmy
Kieran Darcy-Smith,1965,[''],"['Reparto', 'Dirección', 'Guion y continuidad']",Sin Oscar
Maggie Grace,1983,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Bobby Naderi,noviembre,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Mark Barnes,No data,"['Transfer', '2003', 'Cámara y electricidad', 'Jury Foreman', 'Serie de TV']","['Cámara y electricidad', 'Reparto', 'Producción']",Sin oscar
Jon Gries,1957,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Orazio DeLuca,No data,['The Hit'],['Reparto'],Sin oscar
Ji Ri Mu Tu,No data,"['Mongol', 'Chaogtu with Sarula']",['Reparto'],Sin oscar
David D'Amico,No data,[''],"['Reparto', 'Composición', 'Producción']",Más en IMDbPro
Surama De Castro,No data,"['Bang! I Want You', 'O Astro', '2011 • 3 episodios', '2007', '2013']","['Reparto', 'Producción']",Sin oscar
Maife Gil,1944,"['El cor de la ciutat', '2001–2009 • 919 episodios', 'Guia del Futur', 'Verónica', 'Magdalena']","['Reparto', 'Equipos adicionales']",Sin oscar
Dan McCabe,No data,[''],"['Reparto', 'Equipos adicionales', 'Guion']",Más en IMDbPro
Ernesto Claudio,No data,[''],"['Reparto', 'Guion']",Más en IMDbPro
Callum Blue,1977,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Nicholas D'Agosto,1980,[''],"['Reparto', 'Banda sonora']",Sin oscar
Shari Hellman,No data,[''],['Reparto'],Más en IMDbPro
Paul Gleeson,No data,[''],"['Reparto', 'Equipos adicionales']",Más en IMDbPro
Sandy Mansson,1941,"['Kraftverk 3714', 'The Day the Clown Cried', 'Reparto', 'Emma']","['Reparto', 'Guion', 'Equipos adicionales']",Sin oscar
Kirsty Hinchcliffe,1979,[''],"['Reparto', 'Guion']",Sin oscar
Mikkomarkus Ahtiainen,No data,"['Tali-Ihantala 1944', 'Onnelliset läskit', '2010']",['Reparto'],Sin oscar
Aina de Cos,No data,"['Yo', 'No sé decir adiós', 'Plats bruts', '2001 • 1 episodio', '2006']",['Reparto'],Sin oscar
Lady Arlene Kieta,No data,"[""Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava""]",No data,Sin oscar
Sergio Montalvo,No data,[''],"['Cámara y electricidad', 'Reparto']",Sin oscar
Leonie Forbes,1937,"['Children of Babylon', 'Lord Have Mercy!', '2003 • 2 episodios', '1995', '2007']","['Reparto', 'Guion', 'Producción']",Sin Oscar
Xavier Bonastre,1953,[''],"['Reparto', 'Producción', 'Guion']",Sin oscar
Jasna Zalica,1968,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Susan Kelechi Watson,noviembre,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Kimberly McVicar,No data,[''],"['Reparto', 'Guion', 'Producción']",Más en IMDbPro
Elham Ehsas,No data,[''],"['Reparto', 'Dirección', 'Guion']",Más en IMDbPro
Prateeksha Lonkar,No data,[''],['Reparto'],Más en IMDbPro
Manuel Barceló,1953,"['Dentro del fuego', '4,7', '5,1', '5,9']","['Reparto', 'Sonido']",Sin oscar
Slobodan Custic,1958,"['Los hermanos Bloom', 'Montevideo, Bog te video!', 'Akcija Tigar', '2002', '2001']","['Reparto', 'Dirección', 'Guion']",Sin oscar
Bingbing Fan,1981,[''],"['Reparto', 'Producción', 'Música']",Sin Oscar
Birthe Neumann,1947,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Stephen Greenhough,No data,"['Exodus', 'The Firm']",['Reparto'],Sin oscar
Kazuyuki Matsuzawa,No data,"['Samurai Sentai Shinkenjâ', '2010 • 6 episodios', '2012', 'Kawada', 'Miniserie de TV']",['Reparto'],Sin oscar
Valentin Popescu,1955,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Van Day Nguyen,No data,"['Dòng máu anh hùng', 'Cyclo', 'Mùa len trâu']",['Reparto'],Sin oscar
Nando Irene,No data,"['Il ragioniere della mafia', 'Taranta on the road', 'Imma Tataranni', '2019–2023 • 12 episodios', '2007']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Más en IMDbPro
Levent Öktem,1955,"['Dip', '2018 • 4 episodios', '2007', 'Altemur', 'Miniserie de TV']",['Reparto'],Sin oscar
Rob Reinis,1974,"['Entre mujeres', ""Dr. Horrible's Sing-Along Blog"", '2008 • 3 episodios', 'Uniform #1', 'Serie de TV']","['Reparto', 'Guion', 'Producción']",Sin oscar
Roger Tschann,No data,"['Fairfield, Idaho']",['Reparto'],Sin oscar
Miles Heizer,1994,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Robert Clohessy,1957,[''],"['Reparto', 'Producción']",Sin Oscar
Vicky Ahuja,No data,[''],['Reparto'],Más en IMDbPro
Shûzô Mitamura,No data,"['Oboreru sakana', 'Warau kaeru', 'Rabu faito', 'Shaberedomo shaberedomo']",['Reparto'],Sin oscar
Jin-mi Kim,No data,[''],['Reparto'],Sin oscar
David Sutcliffe,1969,[''],"['Reparto', 'Dirección', 'Edición']",Sin Oscar
Rauno Ahonen,1962,"['Venny', '2003 • 3 episodios', 'Kekkonen', 'Miniserie de TV', 'Miniserie de TV']",['Reparto'],Sin Oscar
Janaína Kremer Motta,No data,"['O Sanduíche', '2000', '2013', '2003', '2010']",['Reparto'],Sin Oscar
