0,1,2,3,4
Anita Mui,1963,[''],"['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Jean-Philippe Écoffey,1959,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Filip Centkowski,No data,"['Havet stiger', 'Hotel Paradise', '2020 • 1 episodio', '2018 • 8 episodios']","['Edición', 'Reparto']",Sin oscar
In-ja Yun,No data,"['Balgan mahura', 'Iljimae pilsaui geom', 'Reparto', '1969']",['Reparto'],Sin Oscar
Kyomi Ichida,No data,"['Die Klage der Kaiserin', 'Walzer', 'Palermo Palermo - Ein Stück von Pina Bausch']",['Reparto'],Sin oscar
Vadim Glowna,1941,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Jainendra,No data,"['Dharti Ki Kasam', 'Reparto', 'Reparto', '1988']",['Reparto'],Sin oscar
Suresh Gopi,1958,[''],"['Reparto', 'Música', 'Edición']",Sin Oscar
Yôko Ishino,1968,"['Gojira vs. Desutoroiâ', ""Nanba kin'yû-den, Minami no teiô: Supesharu gekijô-ban"", 'Shuto shôshitsu', 'Garo: Makaisenki', '2011 • 1 episodio']",['Reparto'],Sin oscar
Wladyslaw Dewoyno,1915,"['Lalka', 'Czerwone berety', 'Rodzina Polanieckich', '1979 • 5 episodios', '1958']",['Reparto'],Sin oscar
Yôko Asagami,1952,"['Saraba Uchû Senkan Yamato: Ai no Senshitachi', 'Waga seishun no Arcadia: Mugen kidô SSX', '1982–1983 • 17 episodios', '1977', 'Yuki Mori']",['Reparto'],Sin oscar
Toshi Shioya,2013,"['Mr. Baseball', 'Rokushukan Private Moment', '7,4', '6,9']","['Reparto', 'Dirección', 'Producción']",Sin Oscar
Lucrecia Capello,1938,[''],['Reparto'],Sin oscar
Ferdinando Murolo,1938,"['Los monstruos del terror', '¡Más fuerte, muchachos!', 'Luca el contrabandista', 'Corrupción de menores']",['Reparto'],Sin oscar
Patrick Chesnais,1946,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Ameur Guerasse,No data,['Die Rückkehr aus der Wüste'],['Reparto'],Sin oscar
Marina Mayko,1970,"['Depressiya', 'Papashka i mem', 'Lyudmila', 'Reparto']",['Reparto'],Sin oscar
Masahiko Tsugawa,1940,[''],"['Reparto', 'Dirección', 'Banda sonora']",Sin Oscar
Michela Bruni,No data,No data,No data,Sin oscar
Heiko Krüger,No data,['Rückwärts laufen kann ich auch'],['Reparto'],Sin oscar
Kishore Namit,No data,"['Tridev', 'Sailaab', 'Waqt Se Pehle', 'Doctor Uncle']",['Reparto'],Sin oscar
Chin-cheng Liang,No data,"['Shao Lin zi di', 'Fang Shi Yu yu Hong Xiguan', 'Li Xiang Jun']",['Reparto'],Sin oscar
Jennifer Jo Dennis,No data,['Electra'],['Reparto'],Sin oscar
Stein Winge,1940,[''],"['Reparto', 'Equipos adicionales', 'Dirección']",Sin Oscar
Rodrigo Valverde,1970,"['Triage', 'La ciudad escondida', 'The Power of One', 'Efectos especiales']","['Reparto', 'Efectos especiales', 'Producción']",Sin oscar
Bernard Archard,1916,[''],['Reparto'],Sin oscar
Andrei Zertsalov,1951,"['Italyanets', 'Bednyy, bednyy Pavel', 'Babusya', 'Ne delayte biskvity v plokhom nastroenii']","['Producción', 'Reparto', 'Dirección de producción']",Sin Oscar
Rezo Chkhikvishvili,No data,"['Ekvtime: Man of God', 'Me davbrundebi', '9,2', 'Grand Master']",['Reparto'],Sin oscar
Isaura Espinoza,1956,[''],['Reparto'],Sin Oscar
Rafael Díaz,1936,[''],['Reparto'],Sin oscar
Lester Fletcher,1922,[''],['Reparto'],Sin oscar
Keith Hart,1952,"['Antigone/Rites of Passion', 'Stampede Wrestling', '1957', 'Self', 'Especial de TV']",['Reparto'],Sin oscar
Cissy Meddings,No data,['Strangers in Good Company'],['Reparto'],Sin Oscar
Khommat Mullyk,No data,"['Derevo Dzhamal', 'Lyusya', 'Magtymguly', 'Beki(as K. Mullyk)']",['Reparto'],Más en IMDbPro
Ruth McCabe,No data,[''],"['Reparto', 'Banda sonora']",Más en IMDbPro
Silvio Facchin,No data,"['Antigone/Rites of Passion', ""Ze'Eva Cohen & Dancers: Five Performance Pieces by the Ze'Eva Cohen Dancers from 1973-1987""]",['Reparto'],Sin oscar
Aleksey Poluyan,1965,[''],['Reparto'],Sin Oscar
Alexander Radszun,1952,"['Vida oculta', 'Der Bastard', '1989 • 1 episodio', 'Walter Bielstock', 'Junger Soldat(as Alexander Radzun)']",['Reparto'],Sin oscar
Shawn Weatherly,1959,[''],['Reparto'],Nominado para 1 premio Primetime Emmy
Lenka Termerová,1947,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Marianne Ahrne,1940,"['Långt borta och nära', 'Frihetens murar', 'På liv och död', 'Fem dagar i Falköping']","['Dirección', 'Equipos adicionales', 'Guion']",Sin Oscar
Jason Lively,1968,[''],"['Reparto', 'Dirección', 'Cámara y electricidad']",Sin Oscar
Orlando Sacha,1929,"['Ultra Warrior', 'María Rosa, búscame una esposa', '2000 • 117 episodios', '1988', '1991']",['Reparto'],Sin oscar
Luigi Di Fiore,1964,"['The International: Dinero en la sombra', 'Una habitación con vistas', 'Taxi Lovers', 'Cellini, una vida violenta']","['Reparto', 'Dirección']",Sin oscar
Wayne Pére,1965,[''],"['Reparto', 'Producción', 'Dirección']",Sin oscar
Petar Slabakov,1923,"['Pleneno yato', 'Sladko i gorchivo', 'Zlatnata reka', 'Hindemidth']",['Reparto'],Sin Oscar
Bess Finney,No data,"['Forever Young, Forever Free', 'Impacto total', 'The Spots on My Leopard', 'Black Terrorist']",['Reparto'],Sin oscar
Lukasz Drozdowski,No data,"['Chce mi sie wyc', ""Kaj's fødselsdag""]",['Reparto'],Sin oscar
Ione Skye,1970,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Imogen Claire,1943,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Dalila Di Lazzaro,1953,[''],['Reparto'],Sin oscar
Beverly Vergel,No data,[''],"['Reparto', 'Dirección', 'Producción']",Más en IMDbPro
Pete Randall,No data,"['El principiante', 'Airwolf: Helicóptero', '1985 • 1 episodio', '2010', 'Bartender']",['Reparto'],Sin oscar
Alessandro Benvenuti,1950,"['Belle al bar (Julio-Julia)', 'Ad ovest di Paperino', 'Ivo il tardivo', 'I miei più cari amici']","['Reparto', 'Dirección', 'Guion']",Sin Oscar
Heinrich Ebber,1964,"['Fraktus - Das letzte Kapitel der Musikgeschichte', 'Stand Up', 'Fleisch ist mein Gemüse', 'Neo Magazin', '2017 • 1 episodio']","['Reparto', 'Música', 'Guion']",Sin Oscar
Chôsuke Ikariya,1931,"['Odoru daisosasen', 'Los sueños de Akira Kurosawa', 'Odoru daisosasen', '1997 • 11 episodios', '2003']",['Reparto'],Sin Oscar
Romuald Jarny,No data,['La fractura de miocardio'],['Reparto'],Sin oscar
Sonia Viviani,1958,"['Fabricantes de pánico', 'La invasión de los zombies atómicos', ""L'ave Maria (L'artista)"", 'Sombra sangrienta']",['Reparto'],Sin oscar
Lina Santos,No data,"['Querida enemiga', '2008 • 16 episodios', '1988', '1990']",['Reparto'],Sin oscar
Ralf Lindermann,1960,"['Hallo, Onkel Doc!', '1994–1998 • 67 episodios', 'Dr. Max HenningGregor Henning', 'Hanno Schramm', 'Serie de TV']",['Reparto'],Sin oscar
Aleksander Fabisiak,1945,"['Teatr Telewizji', '1959–2008 • 8 episodios', '1977', '1992', '1996']",['Reparto'],Sin oscar
Yelena Seropova,No data,"['Kumir', 'Legenda Serebryanogo ozera', 'Bag mövsümü', 'Poyezdka v Visbaden']",['Reparto'],Sin oscar
Vladimir Rogozhin,No data,['Vospominanie bez daty'],['Reparto'],Sin oscar
Gábor Máté,No data,"['The Wisdom of Trauma', 'Guerra contra las drogas', 'The Invisible Class', 'Vine of the Soul: Encounters with Ayahuasca']",No data,Sin oscar
Priscilla Pointer,No data,No data,No data,Sin oscar
Adrianne Sachs,1957,[''],['Reparto'],Sin oscar
Robert Ground,No data,"['Frenético', 'Agente doble en Berlín', 'Pecados', '1986 • 1 episodio']",['Reparto'],Sin oscar
Dermot Mulroney,1963,[''],"['Reparto', 'Música', 'Producción']",Sin Oscar
Mohamad Ali Keshavarz,1930,[''],['Reparto'],Sin oscar
Yau Kwong Chen,No data,"['Shen jing da xia', 'Do san', 'Tou shou zai', '4,6']","['Reparto', 'Cámara y electricidad']",Sin oscar
Brigitte Roüan,1946,"['Outremer', 'Post coïtum animal triste', 'Grosse', 'Olivier, Olivier']","['Reparto', 'Dirección', 'Guion']",Sin Oscar
Renaud Ménager,No data,"['La grande collection', '1993 • 1 episodio', '2000', '1993', '1994']",['Reparto'],Sin oscar
Luis Rey,1967,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Vlastimil Zavrel,1954,[''],['Reparto'],Sin oscar
Guillermo Ivan,1981,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Elena Popova,1956,[''],['Reparto'],Sin Oscar
Michèle Simonnet,No data,"['George qui?', 'Bernadette', 'La ville des silences', ""En l'absence du peintre""]","['Reparto', 'Dirección de arte']",Sin oscar
Miguel Simão,No data,['O Som da Terra a Tremer'],['Reparto'],Sin oscar
Chris Elbert,1963,"['Forgive Me Father', 'Ballbuster', 'Mental Scars', '2009']",['Reparto'],Sin oscar
Jürgen Cziesla,1931,"['Wie eine Träne im Ozean', '1970 • 1 episodio', 'San Gottardo', 'Der Stumme']",['Reparto'],Sin oscar
Lyudmila Efimenko,1951,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Carmen Amezcua,1962,"['Caminos cruzados', '1995 • 67 episodios', 'Digna del Olmo', 'Serie de TV', '6,7']",['Reparto'],Sin oscar
Josse De Pauw,1952,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Frantisek Kovárík,1886,[''],['Reparto'],Sin oscar
Taiko Shinbashi,1944,"['Las hermanas Makioka', 'Fureai', '7,9', 'Kôfuku']",['Reparto'],Sin oscar
Yeo-jin Jin,1997,[''],['Reparto'],Sin Oscar
Deben Bhattacharya,No data,"['Abir', '6,0', 'Serie de TV']",['Reparto'],Sin oscar
Aleksey Guskov,1958,[''],"['Reparto', 'Producción']",Sin Oscar
Kader Khan,1937,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Ramaz Chkhikvadze,1928,[''],['Reparto'],Sin Oscar
Mark Howard,2021,[''],No data,Sin oscar
Tung-Shing Yee,1957,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Won-seok Jeon,No data,[''],"['Reparto', 'Composición']",Sin oscar
Boris Novikov,1925,[''],['Reparto'],Sin Oscar
Chema Mazo,No data,[''],['Reparto'],Sin oscar
John Baker,No data,[''],['Reparto'],Más en IMDbPro
Selva Alemán,1944,[''],"['Reparto', 'Producción']",Sin Oscar
Jo Champa,1968,[''],"['Reparto', 'Producción']",Sin oscar
Allison Parisi,No data,[''],['Reparto'],Sin oscar
Mitchell Riggs,No data,"['Kaaterskill Falls', 'Alien Uprising', '2008', 'Mulberry St']","['Reparto', 'Cámara y electricidad', 'Edición']",Más en IMDbPro
Malou De Guzman,No data,[''],"['Reparto', 'Banda sonora']",Más en IMDbPro
Sumitra Mukherjee,1949,[''],"['Reparto', 'Música']",Sin oscar
Vladimir Kashpur,1926,[''],['Reparto'],Sin Oscar
Cristine Frischnertz,No data,"['Flor de pasión', 'Any Time, Any Play']",['Reparto'],Sin oscar
Günter Junghans,1941,[''],['Reparto'],Sin oscar
Nayer Mohseni Zonoozi,No data,['Primer plano'],['Reparto'],Sin oscar
Anatoliy Ivanov,1939,"['Telokhranitel', 'Za pyat sekund do katastrofy', '4,6', '4,8']","['Dirección', 'Guion']",Sin oscar
Antal Cserna,1963,"['Haggyállógva Vászka', 'Grito al amanecer', 'Tüzvonalban', '2007–2010 • 69 episodios', '1997']",['Reparto'],Sin Oscar
Jiaqing Ding,No data,['Printemps perdu'],['Reparto'],Sin oscar
Rina Reyes,No data,[''],"['Reparto', 'Producción']",Más en IMDbPro
Givi Khakhidze,No data,"['Didostatis Marjvena', 'Alka', '8,6', 'Reparto']",['Reparto'],Sin oscar
Jean-François Perrier,No data,"['Delicatessen', 'Timadoras compulsivas', 'El misterio de Laura', 'El viaje del capitán Fracassa']","['Reparto', 'Banda sonora']",Más en IMDbPro
Alexander Folk,1946,[''],['Reparto'],Sin oscar
Mónica Carrasco,1974,[''],"['Reparto', 'Producción', 'Composición']",Sin Oscar
Svetlana Kharitonova,1932,[''],['Reparto'],Sin oscar
Shammi,1931,[''],"['Reparto', 'Dirección']",Sin Oscar
Richie Havens,1941,[''],"['Reparto', 'Composición', 'Guion']",Sin oscar
Sven Wollter,1934,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
John Boswall,1920,[''],"['Reparto', 'Banda sonora']",Sin oscar
Bebe Drake,No data,[''],"['Reparto', 'Producción']",Más en IMDbPro
Ruby Dee,1922,[''],"['Reparto', 'Guion', 'Banda sonora']",Nominado para 1 premio Óscar
Peter Prager,1952,[''],['Reparto'],Sin oscar
Luis Guevara,1926,"['El valiente vive... hasta que el cobarde quiere', 'Traigo la sangre caliente', 'Un hombre violento', 'Mataron a Camelia la Texana']","['Reparto', 'Dirección de producción', 'Equipos adicionales']",Sin oscar
Emine Vilma Arapkirli,No data,['Bütün Kapilar Kapaliydi'],['Reparto'],Sin oscar
Claudia Geisler-Bading,1965,[''],['Reparto'],Sin oscar
Dick Sargent,1930,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Anniken Krogstad,No data,"['Mammon', '2014 • 6 episodios', '2006', '2009', '2004']",['Sonido'],Sin oscar
Horst-Joachim Berodt,No data,"['Winckelmanns Reisen', 'Drachenfutter']",['Reparto'],Sin oscar
Janine Veeren,1947,"['Ava & Gabriel - Un historia di amor', 'Bureau Kruislaan', '1993 • 1 episodio', '1975 • 2 episodios', 'Vrouw op straat']",['Reparto'],Sin oscar
Ashokan,No data,[''],['Reparto'],Más en IMDbPro
Garry McDonald,1948,[''],"['Reparto', 'Guion', 'Banda sonora']",Sin Oscar
Cüneyt Arkin,1937,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
George Simonelli,1948,"['Kick of Death', 'Sno line, la ruta de la cocaína', 'Una mujer peligrosa', 'Battling Amazons', '1987']","['Reparto', 'Casting', 'Equipos adicionales']",Sin oscar
Lolita Chatterjee,2018,[''],['Reparto'],Sin oscar
Ricky Wong Chun-Tong,No data,"['El asesino', 'Luk ding gei', '1998', '1989', '1990']",['Reparto'],Más en IMDbPro
Jari Järvimaa,No data,"['Tropic of Ice - Jään kääntöpiiri', 'Vares - Sukkanauhakäärme', 'Raja 1918', 'Riisuminen']",['Reparto'],Sin oscar
Radko Polic,1942,"['Idealist', 'Balkan ekspres', 'Balkan ekspres 2', '1989 • 10 episodios', '1989']",['Reparto'],Sin Oscar
