0,1,2,3,4
Gökhan Mete,1945,"['Neseli Günler', 'Ates Böcegi', 'Alev Gibi', 'Doktorlar', '1989 • 2 episodios']",['Reparto'],Sin oscar
Hossein Kasbian,1933,"['The Hostage', 'Parvande', '4,6', '7,4']",['Reparto'],Sin oscar
Jesper Gredeli Jensen,1971,"['Springflod', 'Los chicos de San Petri', 'Strisser på Samsø', '1998 • 1 episodio']",['Reparto'],Sin oscar
Lance Henriksen,1940,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Sin Oscar
Sema Aybars,No data,"['Arka Sokaklar', '2008–2009 • 30 episodios', '1990', '2009', 'Reparto']",['Reparto'],Sin oscar
Henriette Fenda,No data,"['Dôlè', 'Clando', 'Sango Malo']","['Reparto', 'Guion y continuidad']",Sin oscar
Beom-ki Kim,No data,"['Daepyogaek', 'Reparto', '1972', '1993']",['Reparto'],Sin oscar
Alessandra Acciai,1965,"['Anni ribelli', 'La più bella musica dopo Mozart', 'Producción', 'Serie de TV']","['Reparto', 'Producción', 'Guion']",Sin Oscar
Kate Capshaw,1953,[''],"['Reparto', 'Producción', 'Dirección de arte']",Sin Oscar
Angela Walsh,No data,[''],['Reparto'],Sin oscar
Elio Marchi,No data,"['El amor es una mujer gorda', 'La neutrónica explotó en Burzaco', 'El hombre que ganó la razón', 'Luba']",['Reparto'],Sin oscar
Christopher Plummer,1929,[''],"['Reparto', 'Producción', 'Música']",Ganó 1 premio Óscar
Elizabeth Gracen,1961,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Chi Man Ho,No data,"['Ban wo chuang tian ya', 'Una bala en la cabeza', 'City on Fire', 'Mr. Canton & Lady Rose - Gángster para un pequeño milagro']",['Reparto'],Más en IMDbPro
Daniel Villanova,No data,"['Roulez jeunesse!', 'Point sublime', 'El pequeño criminal', ""L'or du diable"", '1989 • 1 episodio']",['Reparto'],Sin oscar
Frank R. Roach,No data,"['Mi querido mafioso', 'Black Ghost', 'El vagabundo de las islas', '1962 • 1 episodio']",['Reparto'],Sin oscar
Kaoru Mizuki,1959,"['Gensen-Kan Shujin', 'Kamen raidâ Hibiki', '2005–2006 • 23 episodios', '2003', '2007']",['Reparto'],Sin Oscar
Antonio Appierto,1925,"['Porte aperte', 'Amarsi può darsi']",['Reparto'],Sin oscar
Yvette Petit,1937,"['La ciencia del sueño', 'Valmont', 'El grito de la lechuza', 'Germinal']","['Reparto', 'Equipos adicionales']",Sin oscar
Aage Haugland,1944,"['Parsifal', 'Sirup', 'Der Rosenkavalier', '1994', 'Varlaam']",['Reparto'],Sin oscar
Alan Arkin,1934,[''],"['Reparto', 'Dirección', 'Guion']",Ganó 1 premio Óscar
Vladimír Jedlovsky,1951,[''],['Reparto'],Sin oscar
Laimonas Noreika,1926,[''],['Reparto'],Sin oscar
Hanna Schygulla,1943,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Galina Dauguvietyte,1926,"['Mano mazyte zmona', 'Laimingas laimes nerades', 'Ilga kelione prie juros', 'Den ryby']",['Reparto'],Sin oscar
Salma Agha,No data,"['Nikaah', 'Lion', 'Pati Patni Aur Tawaif', 'Bhabhi Dian Choorian']","['Reparto', 'Música', 'Producción']",Más en IMDbPro
Konstantin Dzhidrov,1930,"['Almas condenadas', 'Pradedi i pravnutzi', 'Tyutyun', 'Cuerno de cabra']","['Diseño de producción', 'Dirección de fotografía y cámara', 'Dirección']",Sin Oscar
Rolf Dietrich,No data,"['Die kommenden Tage', 'En el lugar del crimen', '2011 • 1 episodio', 'Arte', 'Arte']","['Arte', 'Transporte']",Sin oscar
Véronique Müller,No data,"['Brot und Steine', 'Die schwarze Spinne', 'Festival de Eurovisión 1980', '1980', 'Banda sonora(""C\'est la Chanson de mon Amour"")']","['Composición', 'Diseño de vestuario', 'Banda sonora']",Sin oscar
Anja Sovagovic-Despot,1963,"['Sto je Iva snimila 21. listopada 2003.', 'Plavi cvijet', 'Obiteljska stvar', '1998 • 8 episodios', '1990']",['Reparto'],Sin Oscar
Jean Davy,1911,"['Sueños de príncipe', 'Cartouche, roi de Paris', 'La máscara de hierro', 'La princesse du rail', '1967 • 18 episodios']","['Reparto', 'Equipos adicionales']",Sin oscar
Nordin Kadri,No data,"['Seman', '6,3']",['Reparto'],Sin oscar
Vladimir Fateyev,No data,['Mat'],['Reparto'],Sin oscar
Brian Doyle-Murray,1945,[''],"['Reparto', 'Guion', 'Música']",Nominado para 3 premios Primetime Emmy
Seiko Kitamura,No data,['Shi no toge'],['Reparto'],Sin oscar
Alice Diabo,2002,['Strangers in Good Company'],['Reparto'],Sin Oscar
Reza Khandan,1953,"['Dandan-e-mar', 'Shoore Eshgh', 'Do zan', 'Gomshodegan']",['Reparto'],Sin oscar
Alejandra Caicedo,No data,"['Devuélveme La Noche', '2022']",['Producción'],Sin oscar
Olga Land,No data,"['Model', 'Kids vs Fear', 'Tayna «Beloy vorony»', 'Bumazhnye glaza Prishvina']","['Dirección', 'Guion', 'Reparto']",Sin oscar
Lily Chung,1964,"['You sha cuo mao ai cuo', 'Reparto', 'Yee Man', '2001']","['Reparto', 'Equipos adicionales']",Sin oscar
Bo Hopkins,1938,[''],"['Reparto', 'Producción']",Sin Oscar
Rob McManus,No data,"['The Cat Lady', '2012', '1990', 'Rob McManus']",['Reparto'],Sin Oscar
Marco Muñoz,No data,"['Theseus and the Minotaur', 'House of the Gorgon', 'The Fungus Among Us', '2018']",['Reparto'],Sin oscar
Jessica Lange,1949,[''],"['Reparto', 'Producción', 'Banda sonora']",Ganó 2 premios Óscar
Jimmy Williams,abril,"['Star Trek: La película', 'Shadow of the Dragon', 'The Education of a Vampire', 'Lucky You']","['Reparto', 'Producción', 'Dirección de fotografía y cámara']",Sin oscar
Mahshid Afsharzadeh,1965,"['Donyaye Ayandeh', 'Reparto', 'Parvin', 'Reparto']","['Reparto', 'Dirección']",Sin oscar
Ronnie Masterson,1926,"['Byzantium', 'Las cenizas de Ángela', 'Bloom', 'ITV Saturday Night Theatre', '1971 • 1 episodio']",['Reparto'],Sin oscar
Naomi Nakano,No data,"['El cazador de la bruja', '2007 • 4 episodios', 'Arte', 'Arte', 'Animación(Studio Road)']","['Arte', 'Animación', 'Equipos adicionales']",Sin oscar
Bannai Matsuo,No data,"['Boiling point (Punto de ebullición)', 'Funky Monkey Teacher', 'Security', 'Reparto']",['Reparto'],Sin oscar
Steen Svare,1955,"['Sirup', 'Italiano para principiantes', ""Kaj's fødselsdag"", 'Beat i Saltlageret']","['Reparto', 'Música']",Sin Oscar
Salih Kirmizi,1954,"['Avrupa Macerasi / Alo Polis', 'Reparto', 'Tamer', '1988']",['Reparto'],Sin oscar
Annie Cordy,1928,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Bruce Grossberg,No data,"['On the Air', '1992 • 1 episodio', 'Super', 'Norman', 'Serie de TV']",['Reparto'],Sin oscar
Gabriel Godínez,No data,"['En el punto de mira', 'Resident Evil: Extinción', 'Super Nacho', 'Piel de otoño', '2005 • 87 episodios']","['Especialistas', 'Reparto', 'Equipos adicionales']",Sin oscar
Paul Ben-Victor,1965,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Hsiu-ling Wang,No data,['Wu ge nu zi he yi gen sheng zi'],['Reparto'],Sin oscar
Carlos Martins Medeiros,1945,"['Porto Santo', 'O Barco e o Sonho', 'Viúva Rica Solteira Não Fica', 'Adriana']","['Reparto', 'Composición']",Sin oscar
Ihor Procak,No data,"['Demasiado hermosa para vivir', 'Kanadiana', 'Starwatchers', '1997', '1990']","['Reparto', 'Guion', 'Dirección de producción']",Sin oscar
Bonnie Paine,No data,[''],['Banda sonora'],Sin oscar
Anatoli Lukyanenko,1959,[''],['Reparto'],Sin oscar
Pamela Brull,1953,[''],['Reparto'],Sin oscar
Delroy Lindo,1952,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Ron Dean,1938,[''],['Reparto'],Sin Oscar
Anita Raj,1962,[''],"['Reparto', 'Producción']",Sin Oscar
David Danino,No data,"['One More Round', 'Danny Nahman', 'Cámara y electricidad', 'Producción']","['Reparto', 'Cámara y electricidad', 'Producción']",Sin oscar
Assumpta Serna,1957,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Yung-Ping Chow,No data,"['Qing ren zhi ji', 'Wu niu']","['Reparto', 'Equipos adicionales']",Sin oscar
Nedumudi Venu,1948,[''],"['Reparto', 'Guion', 'Música']",Sin Oscar
Marie-Stéphane Gaudry,No data,[''],['Reparto'],Más en IMDbPro
Rasshâ Itamae,No data,"['Boiling point (Punto de ebullición)', 'Minnâ-yatteruka!', 'Ippatsugyakuten!! Bakuso torakka gundan', 'Sanbiki no ossan', '2017 • 1 episodio']",['Reparto'],Sin oscar
Jeroen Baudion,No data,['De grot van Plato'],['Reparto'],Sin oscar
Jorge Herrera,No data,"['Todos tus muertos', ""Hangman's Game"", 'Yo soy Betty, la fea', '1999–2001 • 335 episodios', 'Manuel']","['Reparto', 'Guion']",Sin Oscar
Roberto Accornero,1957,[''],['Reparto'],Sin Oscar
Roman Klosowski,1929,[''],"['Reparto', 'Guion']",Sin oscar
Nihat Ileri,1955,"['Kurtulus', '1994 • 2 episodios', '2001', 'NarratorThe man with dog', 'Gravedigger']",['Reparto'],Sin Oscar
Don Scribner,No data,[''],"['Reparto', 'Música', 'Guion']",Más en IMDbPro
Wei Tung,No data,[''],"['Reparto', 'Especialistas', 'Equipos adicionales']",Más en IMDbPro
Eva-Maria Hagen,1934,[''],"['Reparto', 'Música', 'Banda sonora']",Sin oscar
Andrew Bloch,1951,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Ferenc Némethy,1926,"['Aelita', '1980', 'Metternich', 'Serie de TV', '6,8']",['Reparto'],Sin oscar
Jin-yeong Choi,No data,"['Jung_E', 'Alice in Borderland', '2022 • 3 episodios', 'Efectos visuales(GIANTSTEP)']",['Efectos visuales'],Sin oscar
Lynne Seus,1944,"['El desafío', 'Big Fish', 'Hacia rutas salvajes', 'De perdidos al río']","['Equipos adicionales', 'Reparto', 'Especialistas']",Sin oscar
Åke Lindman,1928,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Maria Grammatikou,No data,['Despoina'],['Reparto'],Sin oscar
Eriq La Salle,1962,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 3 premios Primetime Emmy
Tessa Wyatt,1948,[''],['Reparto'],Sin oscar
Alexandre Mnouchkine,1908,"['El nombre de la rosa', 'Historia de una revolución', 'El profesional', 'Predskazaniye']","['Producción', 'Reparto', 'Dirección de producción']",Sin Oscar
Ga-Ling Kung,No data,"['Cheng shi pan guan', '4,6', '5,7', '4,2']",['Reparto'],Sin oscar
Mikhail Golubovich,1943,[''],['Reparto'],Sin Oscar
Homayoon Mokammaei,No data,['Shabhaye Zayendeh-Rood'],['Reparto'],Sin oscar
Hrothgar Mathews,1964,[''],"['Reparto', 'Arte', 'Banda sonora']",Sin Oscar
José María Lucena,No data,"['Ovejas negras', 'Así en el cielo como en la tierra', 'Hora once', 'Teatro de siempre']",['Reparto'],Sin oscar
Amy Irving,1953,[''],"['Reparto', 'Producción', 'Música']",Nominado para 1 premio Óscar
Suhas Palshikar,No data,[''],['Reparto'],Más en IMDbPro
Yuriel Adrián,No data,"['Milagro en el barrio', 'Vivir o morir']",['Reparto'],Sin oscar
Min-oe Kim,No data,['Keduldo urichurum'],['Reparto'],Sin oscar
Miki Oikawa,No data,"['Ocean Girl', '1994–1996 • 27 episodios', 'Etsuko Saikawa', 'Serie de TV', '5,9']","['Reparto', 'Dirección de producción']",Sin oscar
Reni Vrangova,1965,"['Lyubovnoto lyato na edin lyokhman', 'Zavartete vsichki sferi', 'Maria', '2014']",['Reparto'],Sin oscar
Clint Eastwood,1930,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 4 premios Óscar
Shui-Wai Au,No data,"['Dei tau lung', 'Take Top', '6,0', '7,7']",['Reparto'],Sin oscar
Viktor Gvozditsky,1952,[''],['Reparto'],Sin Oscar
Audrey Morgan,2016,"['Shameless', '2013 • 1 episodio', '2015', '2010', 'Grandma RoseMary']",['Reparto'],Sin oscar
Ronald Yamamoto,No data,"['Cocodrilo Dundee II', 'Wall Street', 'Wonderland', '2000 • 1 episodio', '1990']","['Reparto', 'Banda sonora']",Sin oscar
Christopher Cummins,No data,"['Anzacs, la guerra de las antípodas', '1985 • 5 episodios', 'Jim Marston', 'Serie de TV', '7,3']",['Reparto'],Sin oscar
Pedro Fernández,1969,"['Hasta el fin del mundo', '2014 • 80 episodios', '5,8', '6,7']","['Reparto', 'Guion', 'Banda sonora']",Sin oscar
Joey Kennedy,1962,"['Lost', '2000', '1982', '1996', '1985']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Dirección']",Sin Oscar
