0,1,2,3,4
Roman Russo,No data,"['Scene 1', 'Scene 2', 'Scene 3']",['Reparto'],Sin oscar
Lorena Bernal,1981,[''],"['Reparto', 'Banda sonora']",Sin oscar
Mikael Persbrandt,1963,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Percy Hynes White,2001,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
José Aguirre,No data,"['The Amazing Spider-Man', 'Virago', 'Asalto en la noche', 'Daydreamer']","['Cámara y electricidad', 'Dirección de fotografía y cámara', 'Producción']",Sin oscar
Emma Roberts,1991,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Carmen Ejogo,1973,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Guillermo Francella,1955,[''],"['Reparto', 'Producción']",Sin Oscar
Cunxin Pu,No data,[''],['Reparto'],Sin Oscar
Peter Bussian,No data,"['El pacificador', 'Scarlet Poppy', 'Producción']","['Cámara y electricidad', 'Producción', 'Guion']",Sin oscar
Monica Bennati,No data,"['Génova', 'La escafandra', '2006']",['Reparto'],Sin oscar
Antoine Bertrand,1977,[''],"['Reparto', 'Producción', 'Diseño de producción']",Sin Oscar
Randall Jones,No data,['Best Seller TV'],No data,Sin oscar
Kelsey Sanders,1990,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Sin oscar
Laurent Jarroir,No data,"['Háblame de la lluvia', 'Genius', '2018 • 1 episodio']",['Reparto'],Sin oscar
Harriet Barongo,No data,['Bongoland II: There Is No Place Like Home'],['Reparto'],Sin oscar
Ambria Walker,No data,['The Grift'],['Reparto'],Sin oscar
Anthony Chau-Sang Wong,1961,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Sarah Greene,1984,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Patrick Ryan Anderson,1987,"['Faded Memories', 'Macbeth', 'Anna Nicole', 'Hannah Montana', '2007–2008 • 5 episodios']",['Reparto'],Sin oscar
Morten Holst,1982,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
France Nuyen,1939,[''],['Reparto'],Sin Oscar
Ellie Bright,No data,['Jesters'],['Edición'],Sin oscar
Emily Eckman,No data,[''],"['Reparto', 'Decoración']",Sin oscar
Christian Skolmen,1970,"['Sejer - Elskede Poona', '2003', 'Thomas Gudim', 'Serie de TV', '5,8']","['Reparto', 'Banda sonora']",Sin oscar
Damián de Santo,1968,[''],"['Reparto', 'Especialistas', 'Banda sonora']",Sin Oscar
Indira G. Wilson,1973,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Gôki Maeda,1991,"['Shrill Cries of Summer', 'Pending Train', '2023 • 4 episodios', '2009', 'Kenta Morimura']",['Reparto'],Sin oscar
Gulnur Badakal,1981,['Kaybedenler'],['Reparto'],Sin oscar
Ólafía Hrönn Jónsdóttir,1962,"['Brúðguminn', 'Perlur og svín', 'Sumarlandið', 'Black Mirror', '2017 • 1 episodio']","['Reparto', 'Música', 'Guion y continuidad']",Sin Oscar
Manoj Bajpayee,1969,[''],"['Reparto', 'Producción', 'Música']",Sin Oscar
Katrina Kaif,1984,[''],['Reparto'],Sin Oscar
Riki Lindhome,1979,[''],"['Reparto', 'Guion', 'Producción']",Nominado para 1 premio Primetime Emmy
Mateo Braun,No data,['Paulina'],['Producción'],Sin oscar
Mel Rodriguez,junio,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Liza Vann,No data,"['A Circle on the Cross', 'The Radicals', 'The Top of the Bottom Half']","['Producción', 'Reparto', 'Guion']",Sin oscar
Arthur Fogel,No data,[''],"['Producción', 'Reparto', 'Equipos adicionales']",Sin oscar
Charlize Theron,1975,[''],"['Producción', 'Reparto', 'Diseño de vestuario']",Ganó 1 premio Óscar
Trond Espen Seim,1971,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Fabrizio Gifuni,1966,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Domonkos Németh,No data,['El niño con el pijama de rayas'],['Reparto'],Sin oscar
Mitch Mulaney,No data,['El quinto mandamiento'],['Reparto'],Sin oscar
Jalaal Hartley,No data,"['Sugar Rush', '2006 • 4 episodios', 'Pinturicchio', 'Serie de TV', '7,7']","['Reparto', 'Dirección', 'Guion']",Más en IMDbPro
Thure Lindhardt,1974,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Robert Joy,1951,[''],"['Reparto', 'Guion', 'Composición']",Sin Oscar
Thomas Knuth-Winterfeldt,1979,"['Blekingegade', '2009 • 4 episodios', 'Tjener', 'Asger', 'Mini']","['Reparto', 'Banda sonora']",Sin oscar
Yadira Carrillo,No data,['El silenciador'],['Reparto'],Sin oscar
Imanol Tolaretxipi,No data,['Hombre cero'],['Reparto'],Sin oscar
Kevin Wetmore Jr.,1969,"['Judgement Date', 'Regret', 'Expendable', '2008', '2011']","['Reparto', 'Maquillaje', 'Especialistas']",Sin oscar
Xavier Bonastre,1953,[''],"['Reparto', 'Producción', 'Guion']",Sin oscar
Mariana Parma,No data,[''],"['Reparto', 'Guion', 'Producción']",Más en IMDbPro
Takahiro Nishijima,1986,[''],"['Music Artist', 'Reparto', 'Dirección']",Sin Oscar
Grigori Epstein,1960,"['Igla', 'Troye', 'Reparto', 'Reparto']",['Reparto'],Sin oscar
Antonio Crisponi,No data,['Sonetàula'],['Reparto'],Sin oscar
Jeff Seymour,No data,[''],"['Reparto', 'Guion', 'Producción']",Más en IMDbPro
Eiry Thomas,No data,"['The Bench', '2001–2002 • 20 episodios', '2023', 'Enid', 'Serie de TV']",['Reparto'],Más en IMDbPro
Andhara Early,No data,"['Rumah Ketujuh', 'Mama Cake', 'Babi Buta yang Ingin Terbang', 'Romantic']",['Reparto'],Sin oscar
Jean-Marc Favorin,No data,"['Escondidos en Brujas', 'Mi amigo Mr. Morgan', 'The Spiral', '2012 • 2 episodios', '2001']",['Reparto'],Sin oscar
Raúl Méndez,1975,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Ahlima Mhamdi,No data,"['8th Wonderland', 'Anna Bolena', 'Afra']",['Reparto'],Sin oscar
Mike Jones,1971,[''],"['Guion', 'Equipos adicionales', 'Producción']",Sin Oscar
Lake Bell,1979,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Stany Crets,1964,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Jesús Héctor Perales,No data,['Crepúsculo rojo'],['Reparto'],Sin oscar
Judith Hawking,No data,[''],['Reparto'],Sin oscar
Darshan Jariwala,1958,[''],['Reparto'],Sin Oscar
Colin Fickes,No data,[''],['Reparto'],Más en IMDbPro
Helena Af Sandeberg,1971,[''],['Reparto'],Sin oscar
Zachary Chitwood,No data,"['Belleza y poder', '2009 • 1 episodio', '2008', '2006', '2007']",['Reparto'],Sin oscar
Jozef Brecka,No data,['Muzika'],['Reparto'],Sin oscar
Miguel Iza,1988,[''],['Reparto'],Sin oscar
Alex Reid,No data,[''],['Reparto'],Más en IMDbPro
Antje Boermans,No data,"['Tiramisu', 'Lucia de B.', 'Zus & zo', 'Fissa']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Guion y continuidad']",Sin oscar
Devlin Wilder,diciembre,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Els Olaerts,1957,"['F*** You Very, Very Much', '2021–2023 • 10 episodios', '2008', '2000', '1999']",['Reparto'],Sin Oscar
Raymond J. Barry,1939,[''],['Reparto'],Sin Oscar
Jon Foster,1984,[''],"['Reparto', 'Producción']",Sin Oscar
Kenneth Branagh,1960,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 1 premio Óscar
Luise Berndt,1983,[''],['Reparto'],Sin Oscar
Mathieu Bulle,1990,"[""L'apprenti""]",['Reparto'],Sin oscar
Tovah Feldshuh,1952,[''],"['Reparto', 'Producción', 'Banda sonora']",Nominado para 2 premios Primetime Emmy
Rémy Girard,1950,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Xzibit,1974,[''],"['Reparto', 'Música', 'Producción']",Sin Oscar
Noah Emmerich,1965,[''],"['Reparto', 'Dirección']",Sin Oscar
Dennis Volochkov,1996,[''],['Reparto'],Sin oscar
Lasse Karkjärvi,1958,"['Fakta homma', '1986–1998 • 19 episodios', '1987', '1993 • 6 episodios', '1994']","['Reparto', 'Guion', 'Banda sonora']",Sin oscar
Marian Seldes,1928,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Ljubomir Bandovic,1976,"['Vratice se rode', '2007–2008 • 21 episodios', 'Jamezdin', 'Serie de TV', '6,4']",['Reparto'],Sin Oscar
Sarah Nedwek,No data,[''],['Reparto'],Más en IMDbPro
