tt0118578,Albela,"3,7",11
tt0119004,Don's Plum,"5,6",95
tt0118589,Glitter,"2,4",6
tt0120624,Camarate,"6,6",NO DATA
tt0120807,Ricochet River,"4,8",NO DATA
tt0120737,The Lord of the Rings: The Fellowship of the Ring,"8,8",91
tt0120824,The Shipping News,"6,7",54
tt0132245,Driven,"4,6",14
tt0138856,Tales from the Tower,"7,3",7
tt0139654,Training Day,"7,7",NO DATA
tt0145467,Silent Partner,"5,6",NO DATA
tt0151685,My Father's Love,"7,4",NO DATA
tt0152083,L'amore probabilmente,"5,8",3
tt0157583,Enigma,"6,4",72
tt0157007,After Image,"3,7",NO DATA
tt0159378,The Demo Crew,"5,3",NO DATA
tt0159273,Behind Enemy Lines,"6,4",NO DATA
tt0160275,Final Solution,"7,4",100
tt0160399,Impostor,"6,1",25
tt0160816,The Scar,"5,8",92
tt0160480,Long Lost Love,"7,0",7
tt0162346,Ghost World,"7,3",NO DATA
tt0161860,Nirgendwo in Afrika,"7,5",85
tt0163764,Net Worth,"5,9",NO DATA
tt0163596,Dark Water,"5,1",6
tt0164334,Along Came a Spider,"6,4",32
tt0165713,The Distinct Smell of Red,"6,8",NO DATA
tt0166186,Still Life,"5,5",NO DATA
tt0166158,Daddy and Them,"5,6",NO DATA
tt0166709,Memórias Póstumas de Brás Cubas,"6,9",NO DATA
tt0167360,Race to Space,"5,4",71
tt0169102,Lagaan: Once Upon a Time in India,"8,1",NO DATA
tt0166924,Mulholland Dr.,"7,9",NO DATA
tt0170517,Aleksis Kiven elämä,"6,0",NO DATA
tt0170260,Morgan's Ferry,"5,6",NO DATA
tt0173498,Zigs,"4,9",NO DATA
tt0178642,The Invisible Circus,"5,5",22
tt0179626,15 Minutes,"6,1",32
tt0179844,"Hemingway, the Hunter of Death","6,0",6
tt0180734,Hard Ball,"6,4",41
tt0179435,The Proposal,"5,3",NO DATA
tt0179344,The Midnight Hour,"2,7",NO DATA
tt0180894,Odmazda,"7,1",NO DATA
tt0181796,Rubbernecking,"6,2",NO DATA
tt0181912,Éloge de l'amour,"6,2",NO DATA
tt0182000,The Caveman's Valentine,"5,8",45
tt0184384,A Day in Black and White,"6,7",92
tt0184791,O,"6,1",65
tt0186202,Cowboy Up,"5,5",91
tt0186895,Les Boys III,"5,7",70
tt0188024,Last Days,"7,5",92
tt0188378,...Or Forever Hold Your Peace,"7,9",NO DATA
tt0189541,Gabriela,"4,9",70
tt0191177,Dischord,"5,2",NO DATA
tt0192237,Leo und Claire,"6,7",5
tt0192023,Finder's Fee,"6,2",60
tt0193365,Orphan,"7,2",NO DATA
tt0193560,Texas Rangers,"5,2",2
tt0196068,Sam the Man,"4,8",NO DATA
tt0194704,Birds of Passage,"6,8",NO DATA
tt0196069,Samsara,"7,7",NO DATA
tt0197862,See Jane Run,"7,7",NO DATA
tt0200483,Between the Moon and Montevideo,"5,3",NO DATA
tt0199481,Vercingétorix,"2,7",NO DATA
tt0200027,Riding in Cars with Boys,"6,5",49
tt0200191,Så vit som en snö,"6,2",NO DATA
tt0200422,All Forgotten,"4,7",92
tt0202470,Rock Star,"6,3",53
tt0201020,The Rising Place,"6,4",92
tt0201485,The Body,"5,3",13
tt0201694,Longshot,"2,6",50
tt0201479,Beyond the City Limits,"3,9",NO DATA
tt0203975,Tart,"4,7",31
tt0203078,Rocky Road,"5,4",NO DATA
tt0203009,Moulin Rouge!,"7,6",74
tt0203289,American Desi,"6,6",38
tt0202294,Childhood,"7,2",93
tt0204619,Secret Needs,"4,7",92
tt0204700,Trouble Every Day,"5,9",55
tt0205738,AmnesiA,"6,6",NO DATA
tt0206275,Save the Last Dance,"6,2",54
tt0207198,"Was tun, wenn's brennt?","6,8",50
tt0206963,My First Mister,"7,2",53
tt0207051,Die Reise nach Kafiristan,"6,0",NO DATA
tt0206211,A Pocket Full of Dreams,"7,6",NO DATA
tt0208167,4 Faces,"6,1",92
tt0206367,The Trumpet of the Swan,"5,0",14
