tt0113747,Malevolence,"5,9",NO DATA
tt0116408,Ghost Taxi,"5,8",NO DATA
tt0116703,Jimmy Zip,"5,2",38
tt0115675,The Big Brass Ring,"5,3",NO DATA
tt0119028,18 Shades of Dust,"4,4",NO DATA
tt0118777,Glória,"5,6",NO DATA
tt0119079,Onegin,"6,8",48
tt0117617,"Shame, Shame, Shame","3,6",NO DATA
tt0119603,Mal,"5,4",NO DATA
tt0119208,Godmoney,"4,4",NO DATA
tt0120784,Payback,"7,1",56
tt0119849,Hinter dem Regenbogen,"4,9",17
tt0120855,Tarzan,"7,3",89
tt0121744,Shergar,"5,4",82
tt0120606,The Best of Enemies,"7,6",NO DATA
tt0120593,The Autumn Heart,"6,3",NO DATA
tt0120500,When Justice Fails,"4,6",NO DATA
tt0120188,Three Kings,"7,1",4
tt0120899,My Life So Far,"6,5",70
tt0120646,The Deep End of the Ocean,"6,3",42
tt0120601,Being John Malkovich,"7,7",NO DATA
tt0120620,Brokedown Palace,"6,4",31
tt0120381,True Heart,"5,1",24
tt0123078,Foreign Correspondents,"6,2",92
tt0120790,Jaime,"7,0",NO DATA
tt0120797,Pushing Tin,"6,0",48
tt0123376,Alegría,"6,5",NO DATA
tt0120613,A Walk on the Moon,"6,6",73
tt0120663,Eyes Wide Shut,"7,5",76
tt0123209,The Other Sister,"6,4",29
tt0120662,Eye of the Beholder,"5,0",5
tt0120683,Gloria,"5,1",14
tt0120857,Un tè con Mussolini,"6,9",NO DATA
tt0120689,The Green Mile,"8,6",NO DATA
tt0120655,Dogma,"7,3",100
tt0120798,...Quando Troveja,"5,5",NO DATA
tt0120710,In Dreams,"5,5",25
tt0120716,Jakob the Liar,"6,5",NO DATA
tt0120775,One Man's Hero,"6,0",38
tt0120834,Snow Falling on Cedars,"6,7",NO DATA
tt0120866,Titus,"7,1",NO DATA
tt0120829,The Sky Is Falling,"6,2",NO DATA
tt0124315,The Cider House Rules,"7,4",NO DATA
tt0122132,You're Killing Me...,"4,9",NO DATA
tt0122194,Trash,"5,5",46
tt0123320,Een vrouw van het noorden,"7,6",NO DATA
tt0124811,Abendland,"7,0",NO DATA
tt0122743,Tail Lights Fade,"4,7",NO DATA
tt0124119,Blue Ridge Fall,"5,5",NO DATA
tt0123964,Life,"6,8",52
tt0125439,Notting Hill,"7,2",84
tt0125664,Man on the Moon,"7,4",NO DATA
tt0125507,Sofies verden,"5,8",NO DATA
tt0126916,For Love of the Game,"6,6",NO DATA
tt0125971,Outside Providence,"6,4",51
tt0126240,Chutney Popcorn,"5,9",NO DATA
tt0126250,Cookie's Fortune,"6,8",86
tt0126727,When,"5,2",94
tt0126859,The Loss of Sexual Innocence,"5,4",81
tt0126651,Santitos,"6,6",62
tt0126680,A Stranger in the Kingdom,"5,7",NO DATA
tt0128977,The Bumblebee Flies Anyway,"6,2",65
tt0128378,Ogniem i mieczem,"7,0",NO DATA
tt0128170,The Dream Catcher,"6,8",NO DATA
tt0128239,Grey Owl,"6,0",17
tt0129167,The Iron Giant,"8,1",96
tt0128137,The Confession,"6,0",40
tt0128278,Instinct,"6,5",26
tt0130444,Aimée & Jaguar,"7,2",90
tt0130761,Heart,"6,4",64
tt0130971,Quand je serai parti... vous vivrez encore,"6,5",6
tt0131369,Edtv,"6,1",63
tt0132512,At First Sight,"6,0",32
tt0131349,Darkness Falls,"5,5",NO DATA
tt0132502,The Secret Laughter of Women,"6,1",36
tt0131421,Henry Hill,"5,1",NO DATA
