0,1,2,3
tt0118764,Les Boys,"6,6",86
tt0118768,The Brave,"6,1",NO DATA
tt0118845,Chun gwong cha sit,"7,7",NO DATA
tt0118964,The Designated Mourner,"6,3",65
tt0118734,The Blackout,"5,4",NO DATA
tt0118571,Air Force One,"6,5",78
tt0118858,City of Dark,"6,8",NO DATA
tt0118760,The Boxer,"7,0",NO DATA
tt0118968,Destination Unknown,"6,7",NO DATA
tt0118566,Afterglow,"6,0",NO DATA
tt0118702,Best Men,"5,5",91
tt0118890,Les couleurs du diable,"5,3",NO DATA
tt0118901,Critical Care,"5,9",59
tt0119021,"Drive, She Said","5,2",NO DATA
tt0118738,Bleached,"6,9",NO DATA
tt0118537,2103: The Deadly Wake,"3,2",17
tt0118822,Carreteras secundarias,"6,0",NO DATA
tt0118849,Bacheha-Ye aseman,"8,2",8
tt0118564,Affliction,"6,9",85
tt0118682,Bandits,"6,4",88
tt0118771,Breakdown,"7,0",80
tt0119051,The Edge,"6,9",80
tt0118550,Le acrobate,"6,9",NO DATA
tt0118570,Air Bud,"5,3",21
tt0117472,Rhinoceros Hunting in Budapest,"6,3",NO DATA
tt0118842,Chasing Amy,"7,2",5
tt0119098,Fall,"5,9",NO DATA
tt0118590,All the Rage,"5,1",NO DATA
tt0117233,The Offering,"5,0",5
tt0118617,Anastasia,"7,1",86
tt0118742,Bliss,"6,0",50
tt0119080,Eve's Bayou,"7,2",5
tt0117540,Sairaan kaunis maailma,"5,9",NO DATA
tt0118895,Le cousin,"6,6",53
tt0119123,Fire Down Below,"5,1",14
tt0118658,Autre chose à foutre qu'aimer,"6,0",6
tt0118757,Bouge!,"2,3",NO DATA
tt0118788,La buena estrella,"7,0",7
tt0118804,The Butcher Boy,"7,1",NO DATA
tt0118078,Vicious Circle,"3,6",NO DATA
tt0118727,Love Walked In,"5,3",NO DATA
tt0119173,G.I. Jane,"6,0",NO DATA
tt0118819,Carne trémula,"7,3",80
tt0119085,Exception to the Rule,"4,7",NO DATA
tt0118659,L'autre côté de la mer,"6,0",3
tt0118607,Amistad,"7,3",NO DATA
tt0118783,A Brother's Kiss,"6,0",100
tt0118076,Vice Girls,"3,6",NO DATA
tt0118671,Bad Manners,"6,4",85
tt0119203,Glam,"2,7",62
tt0118752,Born Bad,"5,2",NO DATA
tt0118882,Conceiving Ada,"5,0",82
tt0118565,After the Game,"4,7",NO DATA
tt0119174,The Game,"7,7",77
tt0119167,Funny Games,"7,5",NO DATA
tt0118900,Gang Related,"6,4",50
tt0119132,Flammen im Paradies,"6,1",NO DATA
tt0118705,A Better Place,"6,9",76
tt0118633,Die Apothekerin,"5,9",NO DATA
tt0119001,Dogtown,"5,6",58
tt0119012,Double Tap,"5,1",NO DATA
tt0119095,FairyTale: A True Story,"6,5",5
tt0118958,The Deli,"5,5",36
tt0119019,Dream with the Fishes,"6,9",61
tt0119057,Elles,"6,5",NO DATA
tt0117468,Retroactive,"6,2",57
tt0119092,Face,"6,7",92
tt0119141,Fools Rush In,"6,1",34
tt0119164,The Full Monty,"7,2",96
tt0119146,Franciska vasárnapjai,"6,7",NO DATA
tt0117525,Rumble in the Streets,"3,6",NO DATA
tt0118826,The Castle,"7,6",NO DATA
tt0117177,Night Vision,"4,1",NO DATA
tt0118972,The Devil's Own,"6,2",35
tt0117657,Il sindaco,"4,8",5
tt0118941,Dead Men Can't Dance,"4,4",NO DATA
tt0119157,Friedrich und der verzauberte Einbrecher,"5,8",NO DATA
tt0118859,City of Industry,"6,1",43
tt0119105,Faraw!,"7,2",NO DATA
tt0119184,Gemilang,"7,7",NO DATA
tt0119177,Gattaca,"7,7",82
tt0117280,Painted Hero,"5,4",70
tt0118924,Dance of the Wind,"6,9",NO DATA
tt0118983,Dil To Pagal Hai,"7,0",82
tt0119033,Déjà Vu,"6,7",NO DATA
tt0119113,La femme défendue,"7,2",7
tt0119161,Frost,"8,1",19
tt0119062,The End of Violence,"5,6",NO DATA
tt0118971,The Devil's Advocate,"7,5",NO DATA
tt0119050,Edgar,"8,4",91
tt0119112,La femme du cosmonaute,"4,5",3
tt0117335,Zuì hou pan jue,"6,4",59
tt0117664,Slaves to the Underground,"5,2",33
tt0118139,Wezwanie,"5,8",NO DATA
tt0118164,The Whole of the Moon,"6,2",NO DATA
