tt0136517,Seven Days of Grace,"3,4",NO DATA
tt0166871,Viúva Rica Solteira Não Fica,"6,7",NO DATA
tt0206634,Children of Men,"7,9",92
tt0260042,False Prophets,"6,3",NO DATA
tt0259822,.45,"5,5",38
tt0266732,Love Is the Drug,"5,5",60
tt0275258,Mothers and Daughters,"5,2",34
tt0284363,Obsluhoval jsem anglického krále,"7,3",86
tt0288476,Chile 672,"5,9",NO DATA
tt0296604,Down the Road,"7,7",NO DATA
tt0302545,An Existential Affair,"4,0",NO DATA
tt0308055,Bobby,"7,0",42
tt0311862,Statistics,"5,8",52
tt0314186,Humko Tumse Pyaar Hai,"5,3",82
tt0321858,30 Days,"3,9",NO DATA
tt0323120,Loving Annabelle,"6,3",NO DATA
tt0325011,"Arrivederci amore, ciao","6,9",77
tt0328179,Neil's Party,"4,9",NO DATA
tt0329239,Jeonjaeng geu ihu,"6,4",15
tt0337609,Detroit,"5,4",20
tt0339756,Sweet Deadly Dreams,"6,1",NO DATA
tt0339382,Meteoro,"6,1",NO DATA
tt0345228,Open Window,"6,1",20
tt0343737,The Good Shepherd,"6,7",NO DATA
tt0350183,Tajnata kniga,"7,2",7
tt0349467,Freedomland,"5,2",24
tt0353357,Day of Wrath,"5,4",25
tt0353667,Der Liebeswunsch,"5,7",5
tt0354131,Year One,"5,0",26
tt0354899,La science des rêves,"7,2",NO DATA
tt0359353,Darklovestory,"7,2",7
tt0358924,Agua,"6,0",NO DATA
tt0361786,Stvar srca,"5,3",15
tt0360323,10th & Wolf,"6,3",NO DATA
tt0362225,Ne le dis à personne,"7,5",93
tt0362993,The Deep and Dreamless Sleep,"7,5",NO DATA
tt0364745,Whirlygirl,"5,6",NO DATA
tt0364955,Art School Confidential,"6,3",36
tt0367027,Shortbus,"6,4",69
tt0367567,Sea of Dreams,"6,1",43
tt0366180,Stalin,"6,0",NO DATA
tt0368863,Mi fiesta de casamiento,"7,8",NO DATA
tt0370893,Lirkod,"5,6",NO DATA
tt0373900,Rampage: The Hillside Strangler Murders,"4,3",NO DATA
tt0373999,Libertas,"5,0",5
tt0375154,Tristan + Isolde,"6,8",32
tt0378816,Stripped Down,"5,3",53
tt0377904,Anime veloci,"6,0",NO DATA
tt0377320,A-List,"5,8",NO DATA
tt0381053,The Naked Ape,"4,5",43
tt0383478,Love Comes to the Executioner,"5,3",NO DATA
tt0382765,Jindabyne,"6,3",65
tt0384798,Aimee Semple McPherson,"4,8",NO DATA
tt0384814,Ask the Dust,"5,7",35
tt0385757,El destino,"6,0",38
tt0385726,Glory Road,"7,2",55
tt0387877,The Black Dahlia,"5,6",32
tt0386486,Ghost Hunters: Point of Contact,"4,1",7
tt0390245,Matti,"5,9",26
tt0389860,Click,"6,4",34
tt0389557,Zwartboek,"7,7",7
tt0391488,Le temps des porte-plumes,"6,1",4
tt0391788,Bekarov Yikre Lekha Mashehu Tov,"5,7",NO DATA
tt0392883,Valley of Flowers,"6,9",71
tt0393297,Forget About It,"4,6",18
tt0393813,Sportman van de Eeuw,"6,8",4
tt0395269,Sk8 Life,"5,9",NO DATA
tt0395119,Alatriste,"6,1",NO DATA
tt0395495,Catch and Release,"5,9",22
tt0396171,Perfume: The Story of a Murderer,"7,5",59
tt0396575,Egyetleneim,"5,8",NO DATA
tt0396476,Backwaters,"4,0",NO DATA
tt0397313,Eight Below,"7,3",73
tt0397551,My Bollywood Bride,"4,8",NO DATA
tt0398842,The Celestine Prophecy,"4,8",4
tt0398029,The Last Drop,"4,5",NO DATA
tt0399110,Grad Night,"1,8",NO DATA
tt0399497,Avril,"6,9",NO DATA
tt0400717,Open Season,"6,1",49
tt0401711,"Paris, je t'aime","7,2",86
tt0401445,A Good Year,"6,9",26
tt0402874,Bumer: Film vtoroy,"6,1",75
tt0402505,Sólo Dios sabe,"6,6",NO DATA
tt0402763,Americanese,"5,3",67
tt0404390,Running Scared,"7,3",41
tt0403407,Perfect Creature,"5,4",5
tt0405508,Rang De Basanti,"8,1",89
tt0405632,The Absence of Light,"2,1",NO DATA
tt0405296,A Scanner Darkly,"7,0",68
tt0404163,Even Money,"5,8",35
tt0404203,Little Children,"7,5",NO DATA
tt0404222,Maria an Callas,"6,3",NO DATA
tt0405676,All the King's Men,"6,1",12
tt0405336,Southland Tales,"5,3",41
tt0405094,Das Leben der Anderen,"8,4",92
tt0405445,Vestido de Noiva,"5,8",NO DATA
tt0406850,The House,"6,6",NO DATA
tt0406816,The Guardian,"6,9",37
tt0407814,Full Grown Men,"4,9",44
tt0407887,The Departed,"8,5",91
tt0407867,A herceg haladéka,"6,1",NO DATA
tt0407702,Az élet vendége: Csoma-legendárium,"7,8",NO DATA
tt0408740,Elsa Letterseed,"7,4",NO DATA
tt0409793,Cargo,"5,0",19
tt0409962,Last Sunset,"4,3",NO DATA
tt0410403,Only the Brave,"5,3",49
tt0410730,Taxidermia,"6,8",81
tt0409681,The Alibi,"6,3",NO DATA
tt0410056,A través de tus ojos,"6,7",NO DATA
tt0410297,The Lake House,"6,8",35
tt0410757,Threat,"4,9",NO DATA
tt0410751,Thanks to Gravity,"5,3",NO DATA
tt0411935,Tall Trees,"7,9",22
tt0411204,Cactuses,"7,3",NO DATA
tt0412637,Delirious,"6,4",29
tt0412798,Half Light,"6,0",29
tt0412572,Chaos,"5,5",60
tt0412808,The Hawk Is Dying,"5,8",30
tt0414993,The Fountain,"7,2",NO DATA
tt0415964,Fuera del cielo,"5,7",67
tt0414853,Barnyard,"5,6",67
tt0416111,Peregon,"6,3",NO DATA
tt0416219,Shifted,"6,2",NO DATA
tt0416213,Sehnsucht,"6,6",NO DATA
tt0416449,300,"7,6",61
tt0416737,La fiamma sul ghiaccio,"6,7",NO DATA
tt0416871,Jadesoturi,"5,8",NO DATA
tt0417225,Idlewild,"6,1",47
tt0417477,Behind the Smile,"6,3",NO DATA
tt0417046,Gymnaslærer Pedersen,"5,7",NO DATA
tt0417433,Annapolis,"5,8",10
tt0417614,Dreamland,"6,3",22
tt0417871,Klimt,"5,1",32
tt0418115,Der rote Kakadu,"6,7",NO DATA
tt0418020,The Novice,"6,0",43
tt0419146,En soap,"6,4",55
tt0419626,El carnaval de Sodoma,"6,1",NO DATA
tt0419073,Princess,"6,8",93
tt0419468,Baabul,"5,4",71
tt0418880,Mere Jeevan Saathi,"3,4",NO DATA
tt0420609,Infamous,"7,0",18
tt0420550,Christmas at Maxwell's,"4,5",NO DATA
tt0420835,Opal Dream,"6,5",69
tt0418294,The Virgin of Juarez,"4,7",40
tt0418451,5up 2down,"5,3",75
tt0417909,Living the Dream,"3,6",NO DATA
tt0420265,"Find Her, Keep Her",NO DATA,NO DATA
tt0420087,A Prairie Home Companion,"6,7",NO DATA
tt0418689,Flags of Our Fathers,"7,1",73
tt0418657,Goldene Zeiten,"6,3",NO DATA
tt0418985,Les oiseaux du ciel,"6,5",NO DATA
tt0419815,Holly,"6,8",52
tt0418879,Memory,"5,2",89
tt0419491,Believe in Me,"7,0",60
tt0418835,Little Fugitive,"5,6",40
tt0419749,Find Me Guilty,"7,0",63
tt0419396,"Sexo, amor y otras perversiones","5,6",NO DATA
tt0419081,Psychopathia Sexualis,"3,7",23
tt0418982,Offscreen,"6,4",62
tt0420223,Stranger Than Fiction,"7,5",73
tt0419639,Chloe's Prayer,"7,7",NO DATA
tt0419286,Zooey,"5,9",38
tt0419946,The Marine,"4,7",17
tt0419963,Mezcal,"6,7",NO DATA
tt0421244,Screaming Blue Murder,"6,2",NO DATA
tt0421116,Alpha Male,"5,5",NO DATA
tt0421539,9/Tenths,"5,1",NO DATA
tt0420757,Man About Town,"5,5",38
tt0421206,Gridiron Gang,"7,1",43
tt0421061,The Gold Bracelet,"8,3",NO DATA
tt0422366,The Guatemalan Handshake,"5,9",71
tt0422479,Intellectual Property,"5,4",NO DATA
tt0422399,Hard Scrambled,"6,7",71
tt0422295,Fur: An Imaginary Portrait of Diane Arbus,"6,3",NO DATA
tt0422764,Moreno & tystnaden,"5,8",NO DATA
tt0422720,Marie Antoinette,"6,5",58
tt0422963,La piste,"5,5",NO DATA
tt0423232,Sonhos de Peixe,"6,4",NO DATA
tt0422861,The Oh in Ohio,"5,5",NO DATA
tt0423372,El Cortez,"5,3",NO DATA
tt0423169,Sherrybaby,"6,6",NO DATA
tt0425210,Lucky Number Slevin,"7,7",52
tt0424992,Emmas Glück,"7,2",6
tt0425610,Vadakkum Nathan,"6,5",NO DATA
tt0425478,American Blend,"6,2",NO DATA
tt0424867,Bristol Boys,"5,6",NO DATA
tt0424938,Karla,"5,4",NO DATA
tt0425359,Pope Dreams,"6,7",63
tt0425069,God's Waiting List,"5,1",20
tt0425558,Tre,"4,7",26
tt0425198,Little Box of Sweets,"6,7",50
tt0425648,Whitepaddy,"5,5",90
tt0424107,The Garage,"4,8",77
tt0425094,Heavens Fall,"6,6",62
tt0425253,Mini's First Time,"5,8",54
tt0426490,In,"6,0",71
tt0425087,The Hard Easy,"5,6",35
tt0425321,Omaret yakobean,"7,5",15
tt0425985,Les filles du botaniste,"6,6",87
tt0426462,Fifty Pills,"4,9",33
tt0425326,Outsourced,"7,0",NO DATA
tt0426613,Unspoken,"5,7",NO DATA
tt0425235,Drømmen,"7,2",NO DATA
tt0425132,Inside,"5,3",98
tt0425357,The Pleasure Drivers,"4,3",54
tt0424863,The Book of Revelation,"5,3",69
tt0424908,Copying Beethoven,"6,7",NO DATA
tt0425151,Jimmy and Judy,"5,8",NO DATA
tt0424880,Candy,"7,2",56
tt0426501,Johnny Was,"5,5",46
tt0426883,Alpha Dog,"6,9",55
tt0427461,In ascolto,"6,2",NO DATA
tt0427969,Hollywoodland,"6,5",68
tt0428541,Five Fingers,"6,3",55
tt0428765,The Legend of Lucy Keyes,"4,7",24
tt0430768,Wild Tigers I Have Known,"6,0",67
tt0431124,Hollywood Dreams,"4,6",40
tt0429727,Il caimano,"6,7",39
tt0430589,Shaadi Karke Phas Gaya Yaar,"4,0",57
tt0429187,Toute la beauté du monde,"4,6",NO DATA
tt0430001,The Death of Poe,"6,1",NO DATA
tt0429609,Así del precipicio,"5,0",52
tt0430912,Basic Instinct 2,"4,4",6
tt0429068,The Second Chance,"6,4",44
tt0430051,Elementarteilchen,"6,6",NO DATA
tt0430193,Hope & a Little Sugar,"7,0",NO DATA
tt0429277,Zyzzyx Rd,"3,8",NO DATA
tt0430674,The Thief Lord,"5,9",50
tt0430634,Stick It,"6,4",32
tt0430592,Wild Romance,"6,5",NO DATA
tt0430357,Miami Vice,"6,0",47
tt0430431,One Night with the King,"6,0",20
tt0431058,Fatwa,"3,8",20
tt0432289,First Snow,"6,2",58
tt0432402,Factory Girl,"6,4",100
tt0431321,La perrera,"5,8",NO DATA
tt0430984,Dark Heart,"4,2",NO DATA
tt0430779,Everyone's Hero,"5,7",41
tt0433350,Boy Culture,"6,8",NO DATA
tt0433686,Nachtrit,"6,8",NO DATA
tt0433549,El don de la duda,"4,3",NO DATA
tt0432855,The Way Back Home,"5,7",NO DATA
tt0433416,The Namesake,"7,5",85
tt0433405,Land of the Blind,"6,4",NO DATA
tt0433624,Il regista di matrimoni,"6,2",NO DATA
