id_pelicula,nombre_pelicula,puntos_imdb
tt27858080,Heel'D,10
tt28287857,"Mais Pesado é o Céu",10
tt13673110,Turvo,10
tt16993470,Elmar,10
tt26774318,"Flying Lessons",10
tt11166250,Matriarch,10
tt28287857,"Mais Pesado é o Céu",10
tt16993470,Elmar,10
tt11899796,"The Oratory",10
tt26470862,"Vida de Atriz - parte 2",10
tt26774318,"Flying Lessons",10
tt12861616,"Cheruvaina Dooramaina",9
tt27710406,"Fuga dalla Morte",9
tt27525917,Ramzan,9
tt3774228,"Our Time",9
tt11993020,"Maati Pehchaan",9
tt12611990,"Nana: A Tale of Us",9
tt14897184,Orango,9
tt11482928,"The Woman",9
tt26754306,"Ondolle Love Story",9
tt26595643,"Allantha Doorana",9
tt14766540,"Surat Untukmu",9
tt15320306,"All 4da Green",9
tt0395642,"Loma Lynda: Episode II",9
tt26672336,"Pure Finesse",9
tt24260118,Wechselspiel,9
tt26345037,"O Katha",9
tt27052733,"Rajathanthiram: The Piano",9
tt11584538,"Dancing Through the Shadow",9
tt10834108,"Bengal Diaries",9
tt11404052,"Capital M",9
tt27109859,Irumban,9
tt2736168,"High School 911",9
tt2523498,"Becoming Fools",9
tt2265631,"To Our Bright White Hearts",9
tt16977014,"Mickey Hardaway",9
tt11350286,Khökhö,9
tt25814516,"Mareyade Kshamisu",9
tt3125182,"Kidney and Apple",9
tt3766102,Listen,9
tt11569994,"Ratricha Paus",9
tt11368534,Junho,9
tt3058736,"Tiger Lily",9
tt13224254,Abhijaan,9
tt11686784,"Broken Truth",9
tt3774228,"Our Time",9
tt27710406,"Fuga dalla Morte",9
tt11079750,"God Bless You",9
tt5047372,"The Way Forward",9
tt27512569,Uschool,9
tt13521264,"The Higher Spirit",9
tt28080971,Primbon,9
tt3714920,"The Roots Remain",9
tt28116291,"IQ (Power of student)",9
tt12350928,"Bernie Problems",9
tt3793864,"The Sand Box",9
tt10870258,"Horas Amang: Tiga Bulan Untuk Selamanya",9
tt18330030,Bham,9
tt5047372,"The Way Forward",9
tt16914736,Divorce,9
tt27449521,"Bukannya Aku Tidak Mau Nikah",9
tt27369815,Inherent,9
tt16970854,"Enam Batang",9
tt11779574,"Maduve Madri Sari Hogtane",9
tt17158438,"Presa Nocturna",9
tt13824374,Unlinked,9
tt28313870,Aparoopa,9
tt4971262,"Road King",9
tt27349262,Aura,9
tt4440482,"Black Mud",9
tt15779042,Sika,9
tt11429932,"Lohem Baneshama",9
tt28297544,Rimdogittanga,9
tt11238094,"Baaghi - Ek Yodha",9
tt3609728,"Sands of Silence",9
tt27680464,"Maratha Kranti",9
tt12384676,"Route 24",9
tt27562388,"Yug Purush Sadguru Sai Teoonram",9
tt3530192,"Lucy in the Sky with Diamonds",9
tt11135910,Kastoori,9
tt16288978,"Audition Tape 13",9
tt11361302,Fazeeta,9
tt27336198,"The Kujus Again",9
tt27687483,"Detektif Jaga Jarak",9
tt11374306,"Gia thimise mou",9
tt27443823,Hathpakda,9
tt27794632,Fouja,9
tt12861616,"Cheruvaina Dooramaina",9
tt27192026,"School College Ani Life",9
tt27911825,"In Pursuit of Love",9
tt11317508,"Meri Jung Mera Faisla",9
tt15746922,"Family Fiction",9
tt27350731,"It's All True",9
tt17423592,"Pray for the Bear",9
tt18950346,"The Marriage Fixer",9
tt18293874,"Ambo Nai Sopir Andalan",9
tt13788152,"Shivbhakt-Pravas Eka Mavlyacha",9
tt13458080,"Liam White: The Forgettable Life of Liam White",9
tt11734728,ODA,9
tt27803658,"Thank You, Amelia Earhart",9
tt28334813,"Purple Poppins",9
tt5119914,"Bari Luys",9
tt27989367,"Radha Ramana",9
tt27554460,"Dunia Tanpa Suara",9
tt4082606,"Healing Voices",9
tt13265364,Uncle,9
tt11186748,"Portreti i Pambaruar",9
tt5119914,"Bari Luys",9
tt4604666,Baby,9
tt12915204,Bolivar,9
tt27424932,"Sambandho Ma Khali Jagya",9
tt3850028,"My First Kiss and the People Involved",9
tt12180560,Hasruin,9
tt3641920,"When the World Came to San Francisco",9
tt13991334,"Two Idiots and a Tin Whistle",9
tt13329274,Föraren,9
tt3778654,"Until 20",9
tt16176568,"Geometry Box",9
tt28100574,"Love, Lust & Other Things",9
tt28357218,"Akasham Kadann",9
tt18766692,Trio,9
tt27571912,"Bisilu Kudure",9
tt3561468,Two-Eleven,9
tt10827864,"Teacher of the Year",9
tt17507180,Vishu,9
tt15891204,"Chhatrapati Tararani",9
tt3577328,"A Father's Journey",9
tt18815600,"The Other Side",9
tt28021918,Safarzade,9
tt27555270,Suraari,9
tt13898182,Elephant,9
tt18291334,Ekalavya,9
tt18344644,Nasoor,9
tt28329706,"Sri Prasanna Venkatadaasaru",9
tt28115955,"Vitthal Maza Sobati",9
tt3975604,"Halcyon Dreams",9
tt18920258,"Quota - The Reservation",9
tt17274996,Faas,9
tt11474922,"Chandro ka Devar",9
tt3213224,"By Jingo",9
tt27525917,Ramzan,9
tt4514926,"Here We Are",9
tt4085314,"The Secret Life of Girls",9
tt11428992,Pichhodu,9
tt7957716,Srinagar,9
tt27218497,"Aani Baani",9
tt28075588,"Mastini Pathshala",9
tt3776292,Stuck,9
tt11229382,"While You Still Can",9
tt27773228,"Jersey Number 10",9
tt27912306,Zahma,9
tt3761196,"I Will Dance",9
tt27803347,"Avenue of the Giants",9
tt12489826,WMTv17,9
tt12627728,Transition,9
tt18346084,"Adam & the Water",9
tt16673330,"Madu Murni",9
tt2211666,"Under the Same Sun",9
tt11052558,"The Walk",9
tt10422784,"The Hoy Boys",9
tt22794788,Kodai,9
tt22696258,"Anur: Eyes on the sunshine",9
tt11860510,"Peepal Tree",9
tt0222023,"Hubo un tiempo en que los sueños dieron paso a largas noches de insomnio...",9
tt27163202,"One Way",9
tt23664788,"Mlan Jochna",9
tt0167260,"The Lord of the Rings: The Return of the King",9
tt12089546,"Safaibaaz - The Scavenger",9
tt10793984,"Caged Birds",9
tt24852948,Musandi,9
tt10508446,"Sing to Me Sylvie",9
tt10492484,"A Dog's Balls",9
tt15234096,"Benji's Hour",9
tt10223850,"Knockout Girls",9
tt14278086,"Lalka Paag",9
