0,1,2,3,4,5,6,7,8,9,10
tt0196186,Alessandro Preziosi,Lando Buzzanca,Cristiana Capotondi,Guido Caprino,Assumpta Serna,Sebastiano Lo Monaco,Giselda Volodi,Paolo Calabresi,Biagio Pelligra,Giovanna Bozzolo
tt0206806,Ignazio Oliva,Rade Serbedzija,Paolo Villaggio,Cristina Moglia,Emir Kusturica,Lucija Serbedzija,Andrea Bruschi,Dejan Acimovic,Mate Parlov,Franko Blagonic
tt0211933,Hayden Christensen,Jessica Alba,Terrence Howard,Lena Olin,Christopher McDonald,Sam Robards,Arliss Howard,Fisher Stevens,Georgina Chapman,David Harbour
tt0213985,Jimi Mistry,Kristin Kreuk,Neve Campbell,John Light,Irrfan Khan,Madhur Jaffrey,Arya Babbar,Lushin Dubey,Chenier Hundal,Jesse Moss
tt0218140,James Y. Jones,Heather Miller,Rich Komenich,Gary Sugarman,Sean Vernaglia,Bernard Washington,Joseph Severeno,Jim Jarvis,Mike Bacarella,Kevin Mukherji
tt0242029,Nick Lauro Teresa,Aladino Jasse,Ernesto Lemos Macuacua,Filimone Meigos,Tânia Adelino,Erónia Malate,Alan Cristina Salazar,Gildo Arão Balate,Jorge Kanic Passe,Afonso Francisco
tt0243649,Michael Moriarty,Wyatt Page,Linley Subryan,,,,,,,
tt0283503,Paulo Araujo,Daniel Tay,Ty Thomas Reed,Brian O'Neill,Alec Baldwin,Scott Caan,Jerry Ferrara,Freddie Prinze Jr.,Mena Suvari,Alexa Havins
tt0287075,Corey Haim,Chris Mulkey,Anne Bedian,Myles Beeby,Corey Besner,Jason Bisonette,Eddy Cola,Kianha Daniels,Jason Dragif,Marie Eve Blackburn
tt0292963,Philip Seymour Hoffman,Ethan Hawke,Albert Finney,Marisa Tomei,Aleksa Palladino,Michael Shannon,Amy Ryan,Sarah Livingston,Brían F. O'Byrne,Rosemary Harris
tt0299160,Teiki Pambrum,Hereiti Biron,Papa Matarau,Lena Grell,Gwendolyne Giral,Raimanu Giral,Meheata Maiau,Dolly Higgins,Laurent Purotu,Breeze Grell
tt0306947,Briel DiCristofaro,Andrew Bowen,Michael Cade,John McLoughlin,Missy Crider,Timothy Bottoms,Jared Murphy,William Morgan Sheppard,Corbin Timbrook,Jock McDonald
tt0314589,Okan Bayülgen,Semih Sergen,Zaven Cigdemoglu,Selahattin Duman,Rebekka Haas,David Hemmings,Nolan Hemmings,Nail Kirmizigül,Yasemin Kozanoglu,Esin Moralioglu
tt0314579,Devin Anand,Sanjay,Ajay Vidure,Gugun Deep Singh,Kavi Raz,Manni Walia,Rajeev Chhibber,Gary Castro Churchwell,Tanna Frederick,Erica Grant
tt0315236,Ceci Chuh,Birol Ünel,Pascale Schiller,Georg Friedrich,Johanna Gastdorf,Jakob Gillmann,Laura Henschel,Dieudonné Kabongo,Jan Litzinger,Joseph Malerba
tt0318379,Juano Aguiar,Sandra Ballesteros,Victoria Carreras,Iván De Pineda,Ariel Eiberman,Andrea Galante,Darío Levy,Lalo Mir,Boy Olmi,Damián Padín
tt0323099,Lito Cruz,Rubén Stella,Floria Bloise,Enrique Liporace,Damián de Santo,Claudio Da Passano,Edgardo Moccia,Verónica Ramos,Pablo Rinaldi,Gabriel Molinelli
tt0323609,Darío Grandinetti,Norman Briski,Carlos Resta,Noelia Campo,Natalia Oreiro,Jazmín Stuart,Raúl Calandra,Soledad Gilmet,Diego Lerer,Gustavo Guirado
tt0326749,Juanjo Puigcorbé,David Carradine,Mercedes Sampietro,Emilio Gutiérrez Caba,Cynthia Rothrock,Juli Mira,Cristina Plazas,Carmen Bullejos,Jorge Bosso,Sergio Villanueva
tt0337899,Will Wallace,Joe Unger,Bruce Glover,Barbara Chisholm,Duane Whitaker,Jennifer Matyear,Marco Perella,Jamielyn Lippman,Chris Messersmith,Edward Molaby
tt0338187,Dominic Chianese,Dick Latessa,Kate Buddeke,Catherine Lloyd Burns,Kathleen Chalfant,Joe Grifasi,Josh Hamilton,Ben Hammer,Ann Hu,Jen Jones
tt0338216,Eric Bana,Drew Barrymore,Robert Duvall,Phyllis Somerville,Horatio Sanz,Joey Kern,Debra Messing,Delaine Yates,Mykel Shannon Jenkins,Charles Martin Smith
tt0345601,Michael Lazar,Michael Madsen,Neal McDonough,James Russo,Paul Sloan,Lisa Arturo,Nick Vallelonga,Michelle Lombardo,Brian Hayes Currie,Garret Sato
tt0354578,C. Thomas Howell,Cristina Maxwell,Fred Williamson,Val Lauren,Michael Parks,Crew Hamilton,Fred Willard,Jeff Stearns,Jen Dede,Edward Albert
tt0362080,Luciano Cazaux,Iván Bruzone,Diego Capusotto,Roberto Carnaghi,Carlos Garric,Carlos Issa,Diego Leske,Constanza Marino,Damián Moroni,Francisco Nepomuceno
tt0362209,Larry Braslow,Jack Burning,Carlos A. Cabarcas,John D. Champion,Dana Delleflores,Haley Drummond,Jaime Estrada,Alice Fernando-Ahmie,John Francis,Marc Gonzales
tt0362822,Paul Dano,Michael Esper,Anthony M. Bertram,Seamus Boyle,Eugene Byrd,Paul D'Amato,Paz de la Huerta,Omar Evans,Stephen Kunken,Darrell Larson
tt0362691,Sinbad,Vanessa Bell Calloway,Shedrack Anderson III,Caryn Ward,Paige Adkins,Brittany Perry-Russell,Anthony B. McKinley Scruncho,Chris Facey,Christina Romero Mollison,Quonta Beasley
tt0368151,Allen Payne,Elise Neal,Anthony 'Treach' Criss,Chelsi Smith,Jordana Spiro,Anthony C. Hall,Tracey Cherelle Jones,MC Lyte,Gary 'G. Thang' Johnson,David Brown
tt0368794,Christian Bale,Cate Blanchett,Heath Ledger,Ben Whishaw,Richard Gere,Marcus Carl Franklin,Kris Kristofferson,Don Francks,Roc Lafortune,Larry Day
tt0367959,Gaspard Ulliel,Rhys Ifans,Gong Li,Aaran Thomas,Helena-Lia Tachovská,Richard Leaf,Michelle Wade,Martin Hub,Ingeborga Dapkunaite,Joerg Stadler
tt0372005,Kristen Kerr,Lizzy Strain,Trent Haaga,Sarah Scott,Cinqué Lee,Amie Harwick,Masuimi Max,Gidget Gein,Julie Strain,Robert Williams
